team,total_actual_salary,total_predicted_salary,team_wins,actual_cpw,predicted_cpw,cpw_gap
CHI,1473197,1293941.0554846416,10.0,147319.7,129394.10554846415,17925.594451535857
DAL,1142887,1052904.4854249752,10.0,114288.7,105290.44854249751,8998.251457502483
CON,1061805,1315806.9954598746,11.0,96527.72727272728,119618.81776907951,-23091.090496352233
LAS,1316357,1219971.2675639214,21.0,62683.666666666664,58093.86988399626,4589.796782670404
PHO,1405139,1520271.7879339545,27.0,52042.18518518518,56306.36251607239,-4264.177330887207
SEA,1189480,1154940.3199524179,23.0,51716.52173913043,50214.796519670344,1501.7252194600878
IND,1233895,1323236.7565899703,24.0,51412.291666666664,55134.86485791543,-3722.573191248768
NYL,1367568,1408160.8304720626,27.0,50650.666666666664,52154.10483229862,-1503.4381656319529
ATL,1490935,1244140.6672331668,30.0,49697.833333333336,41471.355574438894,8226.477758894442
GSV,1092331,1354110.6036320806,23.0,47492.65217391304,58874.374070960024,-11381.721897046984
LVA,1397976,1317541.6802628436,30.0,46599.2,43918.05600876145,2681.1439912385467
WAS,742191,813091.0839875559,16.0,46386.9375,50818.192749222246,-4431.255249222246
MIN,1439127,1404256.8662316112,34.0,42327.26470588235,41301.67253622386,1025.592169658492
