player,team,year,salary,group
Hannah Sjerven,MIN,2022,4490,hardship
Iliana Rupert,LVA,2022,37420,rookie
Isabelle Harrison,DAL,2022,159000,unknown
Jackie Young,LVA,2022,72141,unknown
Jantel Lavender,SEA,2022,114000,veteran
Jasmine Dickey,DAL,2022,60471,rookie
Jasmine Thomas,CON,2022,190000,veteran
Jasmine Walker,LAS,2022,68552,rookie
Jazmine Jones,TOT,2022,12573,veteran
Jennie Simms,PHO,2022,12573,veteran
Jessica Shepard,MIN,2022,60471,unknown
Jewell Loyd,SEA,2022,228094,veteran
Jocelyn Willoughby,NYL,2022,70127,rookie
Jonquel Jones,CON,2022,205000,veteran
Jordin Canada,LAS,2022,98000,veteran
Joyner Holmes,CON,2022,30535,veteran
Julie Allemand,CHI,2022,61049,unknown
Kaela Davis,TOT,2022,7500,veteran
Kahleah Copper,CHI,2022,200000,veteran
Kaila Charles,ATL,2022,1796,hardship
Kamiah Smalls,MIN,2022,4041,hardship
Karlie Samuelson,PHO,2022,3214,hardship
Katie Benzan,WAS,2022,3592,hardship
Katie Lou Samuelson,LAS,2022,72141,unknown
Kayla McBride,MIN,2022,196267,veteran
Kayla Thornton,DAL,2022,107040,unknown
Kelsey Mitchell,IND,2022,200000,unknown
Kelsey Plum,LVA,2022,180250,unknown
Kennedy Burke,WAS,2022,36428,unknown
Khayla Pointer,IND,2022,37121,controlled
Kia Vaughn,ATL,2022,110000,veteran
Kiah Stokes,LVA,2022,115000,veteran
Kiana Williams,TOT,2022,4041,hardship
Kianna Smith,LAS,2022,9285,veteran
Kierstan Bell,LVA,2022,66306,rookie
Kristi Toliver,LAS,2022,196100,unknown
Kristine Anigwe,PHO,2022,36428,veteran
Kristy Wallace,ATL,2022,63389,rookie
Lexie Brown,LAS,2022,72141,veteran
Lexie Hull,IND,2022,69224,rookie
Li Yueru,CHI,2022,60471,unknown
Lindsay Allen,MIN,2022,8571,veteran
Liz Cambage,LAS,2022,141386,veteran
Lorela Cubaj,NYL,2022,63389,rookie
Marina Mabrey,DAL,2022,72141,unknown
Marine Johannes,NYL,2022,40713,controlled
Maya Caldwell,ATL,2022,4490,hardship
Megan Gustafson,PHO,2022,72141,veteran
Megan Walker,ATL,2022,24996,unknown
Mercedes Russell,SEA,2022,160000,veteran
Michaela Onyenwere,NYL,2022,68552,rookie
Monique Billings,ATL,2022,140000,veteran
Moriah Jefferson,TOT,2022,170953,unknown
Myisha Hines-Allen,WAS,2022,170000,veteran
NaLyssa Smith,IND,2022,72141,rookie
Napheesa Collier,MIN,2022,72141,unknown
Natalie Achonwa,MIN,2022,160000,veteran
Natasha Cloud,WAS,2022,185000,hardship
Natasha Howard,NYL,2022,221450,veteran
Natisha Hiedeman,CON,2022,72141,controlled
Naz Hillmon,ATL,2022,63389,rookie
Nia Clouden,CON,2022,66306,rookie
Nia Coffey,ATL,2022,130000,veteran
