player,team,year,salary,group
Rhyne Howard,ATL,2024,80943,rookie
Rickea Jackson,LAS,2024,76535,rookie
Sabrina Ionescu,NYL,2024,202000,rookie
Sami Whitcomb,SEA,2024,140000,veteran
Satou Sabally,DAL,2024,195000,veteran
Sevgi Uzun,DAL,2024,64154,rookie
Shakira Austin,WAS,2024,80943,rookie
Shatori Walker-Kimbrough,WAS,2024,97850,veteran
Sika Kone,TOT,2024,64154,unknown
Skylar Diggins,SEA,2024,208219,veteran
Sophie Cunningham,PHO,2024,189500,veteran
Stefanie Dolson,WAS,2024,185000,veteran
Stephanie Soares,DAL,2024,76535,unknown
Stephanie Talbot,LAS,2024,115000,veteran
Sug Sutton,TOT,2024,64154,controlled
Sydney Colson,LVA,2024,76535,veteran
Taylor Soule,MIN,2024,8893,veteran
Teaira McCowan,DAL,2024,195700,veteran
Temi Fagbenle,IND,2024,76535,controlled
Tiffany Hayes,LVA,2024,88000,veteran
Tiffany Mitchell,CON,2024,139050,veteran
Tina Charles,ATL,2024,130000,veteran
Tyasha Harris,CON,2024,97100,rookie
Veronica Burton,CON,2024,50180,veteran
Victaria Saxton,IND,2024,64154,rookie
Victoria Vivians,SEA,2024,85000,veteran
Zia Cooke,LAS,2024,69663,rookie
