params,std_test_score,rank_test_score,model,cv_rmse,train_rmse
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",4396.285281377642,15,RandomForest,40570.14839587902,25389.32291724322
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 400}",4510.812271233402,18,RandomForest,40761.529388370654,25224.39488940667
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",3466.442184765204,3,RandomForest,40152.01810780401,30653.077941131152
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",3634.664452767888,9,RandomForest,40324.243404712535,30498.96789904246
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 200}",3001.89272120801,4,RandomForest,40234.19083608721,35189.14975160909
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 400}",2956.060392758482,10,RandomForest,40451.673668982716,35158.8234651187
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 200}",4395.348940630434,13,RandomForest,40529.502273567305,28701.17003769812
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 400}",4512.884421266937,16,RandomForest,40655.728373589525,28561.861108721554
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 200}",3525.8343428386934,1,RandomForest,40118.98024787463,31948.43570083473
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 400}",3657.0036254270676,7,RandomForest,40293.39662138931,31815.03541494439
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 200}",2973.1178215418554,6,RandomForest,40267.0561043874,35507.893189743314
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 400}",2946.3571023255863,12,RandomForest,40456.10017351468,35478.78601607093
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}",4444.926732474025,14,RandomForest,40531.27749311846,25536.929787317506
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 400}",4558.692788056217,17,RandomForest,40712.40016303194,25366.813426094555
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",3468.5666551086742,2,RandomForest,40147.14543360894,30677.784458038852
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",3633.2908386377744,8,RandomForest,40323.57553113791,30524.4272210772
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 200}",2999.4514159523146,5,RandomForest,40236.923933143575,35191.402752528884
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 400}",2955.023862217435,11,RandomForest,40452.77589032772,35160.72713790615
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",4372.76125564006,5,GradientBoosting,40554.892350940376,37569.079805866386
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4624.541110692936,2,GradientBoosting,39971.438595280284,33648.76371986433
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",4471.632703968384,6,GradientBoosting,40626.78596616996,37667.949631863936
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5008.152531559501,3,GradientBoosting,40199.34486081048,33759.82620671988
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",5639.6162666515675,11,GradientBoosting,41295.20183358366,31494.055087488818
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6220.860518641203,13,GradientBoosting,41581.533058883644,26425.499133896217
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",5494.220646037118,14,GradientBoosting,41673.3214860126,32114.320262989888
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",6031.809506665027,15,GradientBoosting,42134.507282029525,26968.862617426523
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",4578.369728785335,1,GradientBoosting,39765.10934931433,34618.60228492166
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4812.642850004486,7,GradientBoosting,40764.7506055118,29787.758247949223
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",5284.163352517691,4,GradientBoosting,40280.07172453916,34844.15445708072
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5670.404321853688,12,GradientBoosting,41531.167533328764,29964.093022168632
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",6328.527555149351,10,GradientBoosting,41288.07967943634,27815.331088978008
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6837.9414700213765,17,GradientBoosting,42192.84478801283,21970.154954764468
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",6676.2370047898785,16,GradientBoosting,42158.628161705754,28293.351789152974
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",7048.430581343347,21,GradientBoosting,43361.91639913815,22538.094679046804
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",5127.634159985672,8,GradientBoosting,40798.98562867683,29481.5571751099
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",5524.435644267093,19,GradientBoosting,42504.88076147766,23260.349918067466
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",5021.940582417521,9,GradientBoosting,41114.37509757433,30018.806932102012
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5316.480540116253,20,GradientBoosting,42546.41516465441,24028.750255123236
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",6503.8882583279865,18,GradientBoosting,42372.62663374548,21673.921192510843
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6812.407941817372,23,GradientBoosting,43661.790243168005,14317.9481077045
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",6593.195122419247,22,GradientBoosting,43389.256740046796,22392.329353060573
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",6838.2674607111,24,GradientBoosting,44801.102580910294,15513.394809376981
