player,team,pos,g,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,DUMMY,ows,dws,ws,ws_per_40
Zia Cooke,LAS,G,29,257,5.1,.413,.371,.330,.259,1.4,4.2,11.8,1.8,1.0,14.4,25.3,78,111,,-0.8,0.0,-0.8,-0.120
Kahleah Copper,PHO,G-F,37,1197,16.4,.544,.490,.350,.330,2.4,8.2,14.2,1.2,0.2,13.3,31.8,99,111,,0.9,0.2,1.1,.037
Lorela Cubaj,ATL,F-C,28,221,6.9,.444,.429,.000,.143,9.5,10.6,10.9,2.1,0.8,24.4,10.1,92,104,,-0.1,0.3,0.2,.037
Sophie Cunningham,PHO,G,40,1109,12.7,.618,.571,.750,.288,1.7,8.2,11.3,1.9,0.8,12.3,12.8,116,109,,2.2,0.5,2.7,.097
Damiris Dantas,IND,C-F,20,210,13.7,.561,.547,.446,.162,2.3,12.0,9.3,1.2,2.1,13.1,19.3,103,109,,0.2,0.1,0.3,.059
Kaela Davis,CHI,F,4,52,2.4,.436,.417,.167,.333,2.1,4.4,2.9,1.0,3.4,22.5,15.0,74,109,,-0.1,0.0,-0.1,-0.074
Marquesha Davis,NYL,G,20,80,8.3,.478,.432,.045,.318,3.0,7.2,7.6,0.6,4.3,10.7,15.8,97,101,,0.0,0.1,0.2,.076
Diamond DeShields,CHI,G,32,441,7.0,.404,.376,.323,.224,1.7,5.9,15.8,2.3,1.6,14.1,20.5,83,106,,-0.8,0.4,-0.4,-0.035
Skylar Diggins,SEA,G,40,1262,18.6,.525,.466,.263,.294,2.5,4.7,34.0,2.7,2.5,16.0,23.9,105,100,,2.2,2.1,4.3,.138
Liz Dixon,PHO,F,17,160,9.9,.449,.379,.000,.345,10.5,14.9,8.6,0.3,5.1,19.3,11.9,97,108,,0.0,0.1,0.1,.029
Ivana DojkiÄ,NYL,G,26,257,9.4,.507,.446,.568,.365,4.2,4.9,11.6,1.8,0.3,14.0,17.5,102,103,,0.2,0.4,0.6,.089
Stefanie Dolson,WAS,C,39,1013,13.6,.621,.604,.554,.150,3.8,11.4,17.1,1.0,1.7,18.6,16.4,108,104,,1.6,1.1,2.7,.106
Aaliyah Edwards,WAS,F,34,741,13.4,.526,.490,.033,.381,7.6,15.4,11.1,1.7,3.4,16.9,18.1,99,101,,0.3,1.2,1.6,.085
Emily Engstler,WAS,F,32,464,21.7,.602,.581,.370,.143,11.1,16.5,18.2,2.1,4.9,11.8,18.1,119,99,,1.5,0.9,2.4,.204
Olivia Ãpoupa,MIN,G,17,114,11.2,.415,.375,.000,.125,6.4,9.7,32.9,6.3,0.0,47.1,12.9,84,90,,-0.2,0.4,0.2,.079
Dana Evans,CHI,G,39,743,11.4,.509,.458,.433,.198,0.7,3.3,20.6,1.8,0.6,16.2,19.3,99,109,,0.4,0.3,0.7,.040
Temi Fagbenle,IND,C,22,415,12.6,.554,.518,.105,.246,8.9,14.7,7.5,1.3,3.2,17.6,16.4,104,108,,0.4,0.2,0.7,.067
Dyaisha Fair,LVA,G,1,4,-2.7,.000,.000,.500,.000,0.0,0.0,64.9,0.0,0.0,0.0,23.1,53,111,,0.0,0.0,0.0,-0.333
Dulcy Fankam Mendjiadeu,SEA,F-C,7,36,4.3,.532,.667,.000,2.000,12.5,14.2,3.9,0.0,0.0,34.7,10.5,88,105,,0.0,0.0,0.0,.011
Leonie Fiebich,NYL,F,40,837,13.7,.624,.613,.626,.123,5.5,8.4,12.8,2.3,0.7,16.1,13.7,115,100,,1.7,1.5,3.3,.155
Kysre Gondrezick,CHI,G,5,16,10.6,.357,.357,.857,.000,6.8,7.1,20.2,12.8,0.0,30.0,27.4,64,85,,-0.1,0.1,0.0,-0.101
Allisha Gray,ATL,G,40,1327,16.0,.526,.471,.397,.365,3.7,7.5,15.1,1.6,2.0,10.2,22.4,106,104,,2.3,1.5,3.8,.113
Chelsea Gray,LVA,G,27,702,14.0,.513,.471,.374,.233,0.8,6.5,28.9,2.4,2.3,22.0,19.1,97,101,,0.2,1.2,1.3,.074
Brittney Griner,PHO,C,30,861,26.0,.625,.591,.048,.296,7.5,13.3,17.1,1.0,4.8,11.0,25.6,117,107,,3.4,0.6,4.0,.187
Megan Gustafson,LVA,C,38,405,12.7,.621,.604,.538,.160,6.8,10.4,3.5,1.6,1.0,11.0,14.5,114,103,,0.8,0.5,1.4,.134
Dearica Hamby,LAS,F,40,1346,19.2,.566,.541,.168,.379,5.4,16.5,20.6,2.5,0.5,16.2,24.1,103,104,,1.9,1.5,3.4,.101
Isabelle Harrison,CHI,F,36,587,11.9,.450,.405,.076,.210,7.0,13.7,7.9,1.7,1.8,13.0,22.3,91,104,,-0.4,0.6,0.2,.016
Mikiah Herbert Harrigan,PHO,F,31,336,10.6,.517,.506,.616,.233,5.4,7.8,4.3,2.4,3.0,13.7,15.0,96,108,,0.0,0.2,0.2,.026
Tyasha Harris,CON,G,39,1125,13.2,.546,.513,.446,.226,1.1,3.8,17.5,1.9,1.1,12.6,17.6,106,100,,1.6,2.0,3.6,.127
Tiffany Hayes,LVA,G,33,708,17.9,.609,.575,.373,.382,4.5,7.5,15.9,1.8,1.1,9.8,18.6,119,104,,2.3,0.9,3.2,.182
Destanni Henderson,ATL,G,6,105,4.0,.374,.362,.345,.241,0.0,6.5,24.1,1.0,0.9,23.8,18.1,72,106,,-0.3,0.1,-0.3,-0.096
Natisha Hiedeman,MIN,G,40,607,11.5,.469,.440,.427,.177,3.0,5.9,25.0,2.7,0.9,17.5,19.1,95,98,,0.0,1.2,1.2,.080
Naz Hillmon,ATL,F,40,868,14.3,.600,.555,.018,.387,8.2,12.7,10.2,1.7,1.2,16.6,11.9,115,103,,1.6,1.1,2.7,.127
Joyner Holmes,SEA,F,27,231,10.5,.477,.462,.397,.141,6.8,12.1,17.2,1.3,2.2,20.2,19.8,90,100,,-0.2,0.4,0.2,.034
Jordan Horston,SEA,F,39,871,13.5,.545,.522,.231,.191,6.1,11.0,12.3,2.9,2.6,21.3,15.6,97,97,,0.2,1.9,2.1,.096
Natasha Howard,DAL,F,27,825,18.1,.510,.470,.134,.302,7.5,13.1,17.0,2.1,2.2,14.1,28.1,100,112,,0.9,-0.1,0.8,.039
Rhyne Howard,ATL,G,30,1018,17.5,.510,.460,.540,.298,2.7,7.3,17.6,2.8,1.7,9.1,24.9,103,102,,1.5,1.5,3.0,.119
Lexie Hull,IND,G,34,671,10.6,.604,.563,.515,.301,5.9,7.3,7.8,1.6,1.5,15.8,12.1,115,111,,1.2,0.0,1.2,.074
Sabrina Ionescu,NYL,G,38,1221,19.5,.525,.483,.530,.195,2.7,8.0,33.6,1.6,0.9,13.6,28.1,106,101,,2.9,2.0,4.9,.160
Rickea Jackson,LAS,F,40,1152,13.8,.547,.505,.282,.260,5.3,8.1,9.7,1.2,1.1,13.4,21.9,101,111,,1.0,0.1,1.1,.039
Brionna Jones,CON,F,40,1087,21.2,.581,.540,.034,.355,9.6,12.6,10.5,2.2,2.0,9.7,22.3,115,96,,3.5,2.5,6.0,.222
Haley Jones,ATL,F-G,40,712,5.1,.465,.418,.192,.322,1.6,7.1,19.4,1.0,1.4,29.0,14.9,81,106,,-1.2,0.7,-0.6,-0.032
Jonquel Jones,NYL,C,39,1164,21.4,.645,.615,.397,.272,6.8,17.4,18.3,1.3,3.7,17.7,20.1,116,95,,3.6,2.9,6.5,.223
Dorka JuhÃ¡sz,MIN,F,34,547,13.4,.530,.517,.236,.139,7.1,13.7,10.6,1.4,2.1,12.1,14.7,106,97,,0.6,1.2,1.9,.138
Ezinne Kalu,ATL,G,1,13,3.4,.436,.333,.333,.333,0.0,4.4,0.0,4.0,0.0,0.0,12.0,97,101,,0.0,0.0,0.0,.073
Betnijah Laney-Hamilton,NYL,G-F,28,848,13.8,.575,.534,.388,.202,4.2,8.0,17.5,1.9,0.1,18.7,18.7,105,101,,1.2,1.4,2.6,.121
Lou Lopez SÃ©nÃ©chal,DAL,G,27,125,2.2,.350,.338,.441,.118,2.8,5.2,11.4,1.2,0.0,14.4,14.3,79,118,,-0.2,-0.1,-0.3,-0.109
Jewell Loyd,SEA,G,37,1246,17.2,.497,.408,.346,.405,2.3,7.6,18.3,2.1,0.6,10.4,28.8,101,101,,1.6,1.9,3.5,.113
Natasha Mack,PHO,F-C,40,619,18.2,.578,.573,.024,.153,11.6,18.7,11.7,2.2,6.9,17.5,11.9,115,101,,1.2,1.0,2.2,.145
Ezi Magbegor,SEA,F-C,37,1135,19.2,.578,.531,.158,.259,8.2,14.9,10.5,1.8,6.2,12.4,16.5,114,96,,2.7,2.7,5.4,.191
Kate Martin,LVA,G,34,392,6.4,.466,.432,.705,.136,1.8,7.9,10.9,0.9,1.7,18.4,13.4,88,104,,-0.3,0.4,0.2,.016
Kayla McBride,MIN,G,39,1237,16.8,.611,.547,.623,.360,1.4,4.7,16.8,2.0,0.1,14.1,20.8,112,101,,3.2,2.1,5.2,.169
Teaira McCowan,DAL,C,39,983,20.6,.607,.571,.012,.384,13.2,19.0,10.4,1.7,3.0,16.9,19.8,113,111,,2.7,0.1,2.9,.116
Aari McDonald,LAS,G,26,568,13.8,.529,.479,.476,.267,2.5,5.5,29.9,2.0,0.9,18.4,20.5,101,110,,0.5,0.2,0.7,.049
Jade Melbourne,WAS,G,37,525,9.6,.530,.494,.337,.295,2.9,6.3,19.2,2.3,0.9,24.8,21.6,88,105,,-0.6,0.6,0.0,-0.003
Diamond Miller,MIN,F,21,213,3.1,.383,.341,.377,.348,5.1,10.1,9.4,1.7,0.4,19.3,21.4,74,99,,-0.7,0.4,-0.3,-0.057
Kelsey Mitchell,IND,G,40,1280,18.2,.588,.559,.450,.188,2.5,4.5,9.9,1.1,0.5,8.9,24.9,112,114,,3.7,-0.5,3.2,.101
Tiffany Mitchell,CON,G,24,392,7.9,.457,.376,.220,.422,3.4,5.8,7.7,1.5,0.2,10.4,17.0,95,101,,0.0,0.6,0.6,.064
Nika MÃ¼hl,SEA,G,16,57,-3.2,.071,.071,.786,.000,11.8,10.0,16.3,1.8,0.0,22.2,13.9,51,104,,-0.3,0.1,-0.2,-0.162
Astou Ndour-Fall,CON,C-F,22,92,6.8,.436,.385,.385,.231,2.6,12.1,1.7,0.6,4.1,9.5,15.9,87,97,,-0.1,0.2,0.1,.053
Olivia Nelson-Ododa,CON,C,37,437,10.6,.534,.495,.000,.414,8.4,13.1,3.0,1.7,4.6,19.9,15.4,95,95,,0.0,1.1,1.1,.100
Kia Nurse,LAS,G,40,810,9.0,.525,.489,.608,.221,2.5,4.8,11.4,1.2,0.1,14.5,18.6,96,113,,0.1,-0.1,0.0,.001
Arike Ogunbowale,DAL,G,38,1465,18.6,.520,.460,.444,.261,2.3,7.0,22.4,2.8,0.6,11.2,26.8,108,114,,3.7,-0.4,3.3,.089
Nneka Ogwumike,SEA,F,37,1177,22.6,.578,.542,.150,.197,6.6,13.5,13.1,3.0,1.5,8.4,21.8,115,96,,3.7,2.7,6.4,.218
Michaela Onyenwere,CHI,F,34,636,8.4,.491,.474,.321,.193,3.2,5.5,8.6,1.5,1.7,15.7,18.8,91,108,,-0.3,0.3,0.0,.000
Charisma Osborne,PHO,G,2,10,-3.5,.500,.500,.000,.000,0.0,5.8,16.0,0.0,0.0,50.0,18.4,56,115,,-0.1,0.0,-0.1,-0.248
Cheyenne Parker-Tyus,ATL,F,25,492,15.3,.530,.452,.075,.374,7.0,14.0,14.5,2.2,1.7,19.3,24.8,96,100,,0.0,0.8,0.9,.072
Alissa Pili,MIN,F,22,138,4.8,.532,.522,.600,.244,5.3,11.4,6.0,1.9,1.3,27.6,23.0,78,97,,-0.4,0.3,-0.1,-0.027
Kelsey Plum,LVA,G,38,1291,15.2,.563,.523,.545,.217,0.9,4.4,20.9,1.0,0.1,13.4,24.8,104,107,,2.1,1.0,3.1,.095
Aerial Powers,ATL,G,17,304,14.3,.465,.406,.261,.312,5.5,10.5,15.0,2.7,1.2,10.3,26.0,96,101,,0.0,0.5,0.5,.068
Angel Reese,CHI,F,34,1104,17.6,.464,.395,.038,.425,16.9,23.0,9.6,2.0,1.3,13.1,22.7,101,102,,1.1,1.6,2.7,.098
DiDi Richards,WAS,G-F,19,198,6.7,.410,.400,.080,.280,5.9,8.8,10.6,0.5,1.9,11.1,14.5,89,108,,-0.1,0.1,0.0,-0.002
Mercedes Russell,SEA,C,37,583,11.0,.539,.517,.000,.275,5.0,10.7,7.7,1.9,1.3,16.2,12.1,102,100,,0.4,1.0,1.4,.094
Nyara Sabally,NYL,F,26,352,21.0,.612,.575,.023,.460,11.5,17.2,6.8,3.3,4.6,11.1,15.0,123,91,,1.1,1.1,2.2,.250
Satou Sabally,DAL,F,15,512,19.5,.563,.517,.402,.325,4.1,11.2,24.0,1.9,1.3,13.4,23.1,113,113,,1.6,-0.1,1.4,.113
Karlie Samuelson,WAS,G,29,711,13.0,.578,.536,.637,.202,2.5,6.2,14.3,1.9,0.1,10.6,15.0,113,106,,1.4,0.6,2.0,.112
Katie Lou Samuelson,IND,G,37,674,8.8,.506,.462,.685,.171,3.0,7.4,10.8,0.9,1.2,10.3,11.5,109,113,,0.8,-0.1,0.7,.043
Victaria Saxton,IND,F,9,23,0.1,.405,.389,.444,.222,0.0,7.6,0.0,0.0,0.0,9.2,21.0,76,114,,-0.1,0.0,-0.1,-0.125
Jacy Sheldon,DAL,G,40,931,6.8,.489,.457,.462,.129,3.4,5.2,15.3,1.2,1.1,22.1,13.1,95,118,,0.0,-0.8,-0.9,-0.038
Jaylyn Sherrod,NYL,G,10,37,21.8,.571,.571,.429,.429,6.4,4.7,23.3,4.2,2.3,10.7,22.7,115,97,,0.1,0.1,0.2,.223
Maddy Siegrist,DAL,F,27,644,15.2,.557,.529,.176,.205,7.8,8.3,6.8,0.8,1.3,6.1,16.3,118,118,,1.7,-0.6,1.1,.068
Alanna Smith,MIN,F,39,1035,18.1,.575,.546,.378,.231,7.1,12.3,19.8,2.6,4.8,18.1,18.7,108,93,,1.8,2.9,4.7,.183
NaLyssa Smith,IND,F,40,990,16.1,.520,.500,.137,.363,8.7,16.8,6.8,1.5,3.5,11.4,20.6,103,106,,1.2,0.9,2.0,.082
Stephanie Soares,DAL,C,22,175,5.7,.344,.324,.353,.059,12.0,16.0,7.9,0.6,3.9,25.6,11.5,80,114,,-0.3,-0.1,-0.3,-0.072
Taylor Soule,MIN,F,2,3,-14.3,,,,,0.0,19.4,0.0,0.0,0.0,100.0,15.4,0,95,,0.0,0.0,0.0,-0.392
Azura Stevens,LAS,F-C,20,493,14.1,.506,.478,.449,.152,4.9,17.1,13.9,1.7,3.2,15.9,20.4,93,104,,-0.1,0.6,0.5,.037
Breanna Stewart,NYL,F,38,1243,26.4,.569,.498,.270,.412,5.8,15.0,19.4,2.6,3.3,8.7,27.1,117,94,,5.4,3.4,8.7,.281
Kiah Stokes,LVA,C,39,716,7.3,.417,.395,.645,.145,3.8,14.8,5.3,1.5,3.9,18.5,5.2,95,98,,0.0,1.5,1.5,.081
Brittney Sykes,WAS,G,18,419,15.1,.490,.445,.295,.280,3.1,10.4,24.9,1.9,1.6,15.1,28.6,93,103,,-0.2,0.6,0.3,.033
Stephanie Talbot,LAS,F,37,600,10.1,.479,.448,.403,.234,4.2,10.1,20.5,1.6,2.4,21.3,12.9,95,108,,0.0,0.4,0.4,.025
Diana Taurasi,PHO,G,36,1044,16.0,.554,.500,.600,.293,1.5,7.6,20.9,1.1,0.9,12.3,24.3,106,111,,2.0,0.1,2.1,.081
Alyssa Thomas,CON,F,40,1296,19.8,.543,.509,.012,.445,9.2,16.1,40.9,2.5,1.3,27.1,19.1,105,94,,2.2,3.4,5.5,.170
Kayla Thornton,NYL,F,40,809,9.8,.515,.490,.621,.128,5.7,7.4,5.0,1.8,1.0,9.7,13.2,105,101,,0.8,1.3,2.0,.101
Brianna Turner,CHI,F-C,27,253,9.0,.614,.615,.000,.077,4.7,11.9,5.8,1.8,4.5,30.9,6.7,96,103,,0.0,0.3,0.4,.058
Sevgi Uzun,DAL,G,40,820,6.3,.418,.392,.422,.116,1.3,4.7,20.7,2.3,1.2,25.9,14.8,83,115,,-1.2,-0.4,-1.6,-0.080
Courtney Vandersloot,NYL,G,31,691,13.2,.503,.495,.368,.170,2.2,6.8,33.1,1.9,1.9,22.3,16.4,103,100,,0.7,1.2,1.9,.111
Julie Vanloo,WAS,G,40,926,6.6,.470,.464,.725,.049,0.6,4.2,30.8,1.0,0.1,24.6,20.3,86,108,,-1.4,0.5,-0.9,-0.040
Victoria Vivians,SEA,G-F,35,445,7.2,.433,.423,.561,.073,4.8,8.8,9.6,1.5,1.4,13.6,14.5,89,102,,-0.3,0.6,0.3,.031
Shatori Walker-Kimbrough,WAS,G,40,883,11.8,.529,.484,.419,.265,1.7,4.7,14.1,2.4,1.9,16.0,17.3,97,104,,0.3,1.0,1.2,.056
Kristy Wallace,IND,G,26,447,11.0,.492,.474,.496,.154,2.9,6.3,14.9,2.0,1.2,12.0,14.1,104,111,,0.4,0.1,0.5,.044
Erica Wheeler,IND,G,39,546,8.5,.484,.465,.369,.092,1.5,5.7,18.8,1.6,0.7,19.3,14.8,96,112,,0.0,0.0,0.0,.000
Sami Whitcomb,SEA,G,40,611,9.9,.470,.459,.774,.053,2.8,6.9,16.0,2.5,1.3,15.8,18.2,91,101,,-0.4,1.0,0.7,.043
Courtney Williams,MIN,G,40,1061,15.1,.487,.469,.158,.096,1.6,10.2,37.0,1.7,1.3,17.7,24.1,97,97,,0.3,2.4,2.7,.101
Elizabeth Williams,CHI,C-F,9,249,18.6,.520,.487,.000,.316,10.9,14.4,9.5,3.1,5.3,14.8,17.9,103,100,,0.3,0.4,0.7,.117
Gabby Williams,SEA,F,12,351,16.0,.552,.529,.298,.183,2.9,7.8,19.9,2.9,0.7,13.1,16.2,109,100,,0.6,0.6,1.2,.141
Kiana Williams,SEA,G,13,45,1.2,.344,.344,.563,.000,0.0,2.5,16.3,0.0,0.0,11.1,17.6,76,109,,-0.1,0.0,-0.1,-0.081
A'ja Wilson,LVA,C,38,1308,34.9,.591,.531,.081,.370,7.2,19.9,14.1,2.6,6.3,5.3,32.2,119,92,,7.0,3.8,10.9,.332
Jackie Young,LVA,G,37,1205,18.1,.557,.505,.445,.274,2.6,7.7,27.1,1.5,0.6,13.0,23.0,110,104,,3.1,1.4,4.5,.150
Li Yueru,LAS,C,38,546,13.1,.558,.476,.102,.401,12.1,15.4,7.0,1.1,1.4,16.0,16.8,108,109,,0.9,0.2,1.1,.083
Cecilia Zandalasini,MIN,F,40,487,11.2,.569,.557,.473,.196,1.2,5.5,14.5,1.6,1.6,16.2,18.2,100,100,,0.3,0.9,1.2,.096
Rachel Banham,TOT,G,37,586,9.7,.498,.480,.703,.099,1.4,5.4,11.1,1.2,1.1,8.7,17.7,101,105,,0.4,0.6,1.0,.070
Morgan Bertsch,TOT,F,11,100,-3.9,.320,.233,.500,.333,9.6,9.9,3.1,0.5,0.9,27.4,21.5,60,115,,-0.6,0.0,-0.6,-0.249
Monique Billings,TOT,F,37,843,12.5,.524,.472,.061,.309,9.1,15.0,9.8,1.6,2.0,19.9,16.9,99,111,,0.4,0.1,0.5,.024
Crystal Dangerfield,TOT,G,33,441,6.0,.383,.347,.473,.130,0.5,4.5,23.0,1.3,1.2,15.8,16.7,83,109,,-0.7,0.2,-0.5,-0.048
Queen Egbo,TOT,F-C,8,29,20.2,.466,.417,.000,.167,12.4,20.4,0.0,5.2,2.9,0.0,20.4,100,90,,0.0,0.1,0.1,.154
Myisha Hines-Allen,TOT,F,40,746,17.3,.573,.529,.205,.270,6.7,14.9,24.1,1.8,0.5,17.0,20.1,109,100,,1.6,1.3,2.9,.154
Moriah Jefferson,TOT,G,23,185,5.7,.334,.262,.452,.238,1.8,2.8,23.2,2.3,0.0,14.7,13.1,85,106,,-0.2,0.2,0.0,-0.006
Sika KonÃ©,TOT,F,27,217,15.7,.536,.452,.083,.429,7.7,15.1,10.1,1.4,0.9,12.3,23.9,104,102,,0.3,0.3,0.7,.120
Marina Mabrey,TOT,G,40,1235,15.3,.524,.508,.502,.133,2.0,8.2,23.4,1.9,1.3,14.6,23.2,100,103,,1.1,1.6,2.7,.086
Odyssey Sims,TOT,G,24,700,17.2,.560,.525,.240,.260,2.9,4.4,31.9,2.0,0.6,16.2,20.2,109,113,,1.5,-0.2,1.4,.078
Sug Sutton,TOT,G,29,379,5.4,.395,.367,.519,.165,1.9,4.3,24.8,2.2,0.2,28.6,14.4,80,111,,-0.7,0.1,-0.6,-0.064
Celeste Taylor,TOT,G,22,328,6.0,.415,.387,.484,.290,2.2,5.0,12.9,2.3,2.8,23.9,12.9,78,109,,-0.6,0.2,-0.4,-0.049
