Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Breanna Stewart,228094,UFA,34,34,30.9,21.8,7.5,15.9,47.2%,5.5,10.7,51.8%,2.0,5.2,37.9%,4.8,5.8,83.7%,1.4,6.2,7.6,2.9,1.3,1.6,0.9,2.1
Kelsey Plum,180250,,36,36,32.8,20.2,6.8,14.8,46.0%,3.6,7.3,50.0%,3.1,7.5,42.0%,3.5,4.1,83.9%,0.3,2.4,2.7,5.1,2.6,1.0,0.1,2.5
Skylar Diggins,227900,,30,30,34.0,19.7,6.9,16.2,42.9%,5.6,11.7,48.0%,1.3,4.5,29.6%,4.5,5.3,84.4%,0.9,3.1,4.0,5.5,2.7,1.5,1.0,2.7
Arike Ogunbowale,72141,,30,30,31.4,19.7,6.8,17.0,40.0%,4.0,9.1,44.2%,2.8,7.9,35.2%,3.3,4.1,79.8%,0.6,2.7,3.3,3.6,1.8,1.5,0.1,2.2
A'ja Wilson,196267,RFA,36,36,30.0,19.5,7.2,14.4,50.1%,6.4,12.1,52.5%,0.9,2.3,37.3%,4.2,5.2,81.3%,1.8,7.6,9.4,2.1,1.7,1.4,1.9,2.1
Kelsey Mitchell,200000,,31,31,32.6,18.4,6.3,14.4,43.8%,4.0,8.7,45.8%,2.3,5.7,40.9%,3.4,3.9,86.1%,0.5,1.5,1.9,4.2,2.4,0.9,0.2,2.3
Nneka Ogwumike,196267,Core,34,34,31.4,18.1,7.3,13.5,54.4%,6.7,11.8,56.9%,0.6,1.7,36.8%,2.8,3.4,82.6%,1.4,5.2,6.6,2.0,1.8,1.7,0.4,2.4
Sabrina Ionescu,76297,Rookie,36,36,32.3,17.4,5.9,14.3,41.1%,3.6,7.3,48.5%,2.3,6.9,33.3%,3.4,3.6,93.1%,1.0,6.1,7.1,6.3,3.0,1.1,0.3,2.1
Elena Delle Donne,227900,,25,25,27.8,17.2,6.2,12.9,48.0%,4.8,9.1,52.6%,1.4,3.8,36.8%,3.4,3.7,91.3%,1.2,5.1,6.3,2.3,1.1,0.5,1.1,1.4
Diana Taurasi,228094,UFA,31,31,31.0,16.7,4.8,13.0,37.3%,1.9,4.2,45.0%,3.0,8.8,33.7%,4.1,4.6,89.4%,0.3,3.2,3.4,3.9,2.7,0.7,0.6,2.9
Jewell Loyd,228094,Core,36,36,30.3,16.3,5.6,14.1,39.6%,3.3,8.1,40.3%,2.3,6.1,38.5%,2.8,3.1,89.3%,0.6,2.1,2.6,3.4,2.2,1.1,0.2,1.8
Rhyne Howard,72141,Rookie,34,34,31.3,16.2,5.4,15.0,36.1%,2.9,7.7,37.9%,2.5,7.3,34.3%,2.9,3.7,79.2%,0.8,3.7,4.5,2.8,1.6,1.6,0.8,2.6
Jackie Young,72141,,34,34,33.2,15.9,5.6,11.8,47.6%,4.1,8.4,49.5%,1.5,3.4,43.1%,3.2,3.8,85.9%,1.3,3.1,4.4,3.9,1.3,1.4,0.2,2.4
Kahleah Copper,200000,Core,31,31,28.8,15.7,5.7,11.8,48.1%,4.5,8.5,52.8%,1.2,3.3,35.6%,3.2,4.2,77.5%,1.0,4.6,5.7,2.3,2.0,0.5,0.0,2.4
Natasha Howard,221450,Core,35,35,29.9,15.1,5.9,12.2,48.2%,5.0,9.6,52.5%,0.9,2.6,32.6%,2.5,3.5,71.5%,2.0,5.3,7.3,2.3,3.2,1.3,1.0,3.1
Tiffany Hayes,215000,UFA,12,11,25.2,14.8,5.5,10.1,54.5%,4.0,6.6,60.8%,1.5,3.5,42.9%,2.3,3.4,68.3%,0.3,3.1,3.3,1.9,1.8,0.7,0.1,2.8
Tina Charles,56673,UFA,34,26,28.9,14.8,5.8,12.7,45.7%,4.7,9.5,49.2%,1.1,3.2,35.5%,2.0,2.4,82.7%,1.5,5.8,7.3,2.0,2.1,0.7,0.7,2.8
