Player,2023 Salary,2023 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Shakira Austin,73584,Rookie,19,17,23.2,10.0,4.1,8.1,50.0%,4.1,8.1,50.0%,0.0,0.0,--,1.9,3.1,61.0%,1.5,5.5,7.0,0.9,1.8,0.8,0.9,2.3
Erica Wheeler,242154,UFA,40,40,26.8,9.9,3.7,9.2,39.8%,2.9,6.8,43.0%,0.8,2.4,30.9%,1.8,2.1,87.8%,0.4,2.6,3.0,5.0,2.1,1.1,0.1,2.4
Elizabeth Williams,135000,UFA,40,40,29.7,9.8,4.2,8.1,51.4%,4.2,8.1,51.4%,0.0,0.0,--,1.5,2.3,63.0%,2.3,3.6,5.8,2.5,1.4,1.3,1.5,2.5
Sami Whitcomb,142500,UFA,40,19,24.5,9.7,3.2,8.0,40.0%,1.0,2.2,43.8%,2.2,5.8,38.5%,1.1,1.3,83.0%,0.5,2.4,2.9,2.9,2.0,0.9,0.4,1.9
Alanna Smith,100000,UFA,38,35,26.5,9.2,3.5,7.0,49.8%,2.7,4.3,62.6%,0.8,2.7,29.4%,1.4,2.1,67.9%,1.8,4.7,6.6,1.8,1.5,1.3,1.3,3.1
Candace Parker,100000,UFA,18,18,23.6,9.0,3.3,7.2,46.5%,2.4,4.3,55.1%,0.9,2.8,33.3%,1.4,1.6,89.3%,0.9,4.5,5.4,3.7,1.7,1.5,0.9,1.9
Dana Evans,69053,Rookie,39,1,21.5,9.0,3.0,8.3,36.0%,1.9,4.6,41.3%,1.1,3.7,29.4%,1.9,2.3,85.4%,0.2,1.0,1.2,3.0,1.6,0.7,0.1,1.2
Dearica Hamby,169000,,40,19,24.7,8.9,3.3,7.7,43.1%,3.1,6.6,46.4%,0.2,1.0,22.0%,2.1,3.2,64.8%,1.3,4.6,5.9,1.8,1.5,0.9,0.3,2.2
Michaela Onyenwere,75407,Rookie,40,27,23.8,8.9,3.3,8.1,40.4%,2.4,5.3,45.0%,0.9,2.8,31.5%,1.5,2.0,75.9%,1.2,2.5,3.7,1.3,2.0,0.8,0.5,2.9
Natisha Hiedeman,120000,RFA,40,40,26.7,8.5,3.1,7.9,39.2%,1.6,3.8,41.8%,1.5,4.0,36.6%,0.9,1.2,73.9%,0.2,1.9,2.1,2.7,1.4,0.9,0.1,2.2
Chiney Ogwumike,90000,UFA,10,4,21.2,8.4,3.4,7.9,43.0%,3.3,6.6,50.0%,0.1,1.3,7.7%,1.5,2.1,71.4%,1.4,2.9,4.3,1.3,1.2,1.3,0.3,3.7
Gabby Williams,100000,ROS,10,8,28.5,8.4,3.4,9.4,36.2%,2.9,7.1,40.8%,0.5,2.3,21.7%,1.1,1.3,84.6%,1.4,2.2,3.6,3.8,2.2,1.5,0.4,1.9
DiJonai Carrington,69053,Rookie,32,0,17.2,8.3,2.9,7.0,41.7%,2.2,5.0,43.5%,0.7,1.9,37.1%,1.8,2.3,75.7%,0.8,2.0,2.9,1.3,1.1,0.6,0.1,2.1
Crystal Dangerfield,80000,Reserved,35,32,27.8,8.2,3.4,8.0,42.5%,2.6,5.3,49.2%,0.8,2.7,29.0%,0.6,0.8,81.5%,0.8,2.1,2.9,3.1,1.2,0.9,0.2,1.3
Sug Sutton,62285,UFA,40,12,26.3,8.2,3.2,8.2,38.5%,2.4,6.0,40.3%,0.8,2.2,33.7%,1.2,1.4,80.7%,0.4,2.2,2.6,4.8,2.5,0.7,0.1,1.6
Tianna Hawkins,74305,UFA,40,21,23.1,8.2,3.3,6.6,49.1%,2.5,4.5,56.7%,0.7,2.2,33.3%,1.0,1.3,75.0%,1.5,3.5,5.0,1.4,1.2,0.8,0.4,2.5
Jessica Shepard,120000,,21,17,26.9,8.1,3.1,6.0,51.6%,3.1,5.9,52.4%,0.0,0.1,0.0%,2.0,2.5,77.4%,2.1,5.0,7.1,3.2,1.4,0.6,0.1,2.0
Megan Gustafson,74305,RFA,34,4,15.1,7.9,3.0,5.7,52.6%,2.6,4.4,57.6%,0.4,1.3,34.9%,1.5,1.8,80.6%,1.4,2.5,3.9,0.7,1.1,0.4,0.4,1.9
Aari McDonald,78586,Rookie,24,9,23.5,7.9,2.8,6.8,40.2%,1.7,3.6,47.7%,1.0,3.3,32.1%,1.3,1.8,76.2%,0.3,1.8,2.0,3.0,1.6,0.6,0.0,1.6
Kalani Brown,35861,Hardship,32,5,16.4,7.8,2.8,4.5,62.9%,2.8,4.4,63.4%,0.0,0.0,0.0%,2.2,2.7,80.2%,1.7,2.8,4.5,1.0,1.3,0.2,0.7,2.0
Kalani Brown,14538,Hardship,32,5,16.4,7.8,2.8,4.5,62.9%,2.8,4.4,63.4%,0.0,0.0,0.0%,2.2,2.7,80.2%,1.7,2.8,4.5,1.0,1.3,0.2,0.7,2.0
Karlie Samuelson,62675,UFA,34,23,26.1,7.7,2.4,5.2,46.3%,1.0,1.8,53.2%,1.4,3.4,42.6%,1.4,1.5,94.1%,0.3,2.6,3.0,2.0,0.9,0.6,0.1,2.4
Karlie Samuelson,8723,Hardship,34,23,26.1,7.7,2.4,5.2,46.3%,1.0,1.8,53.2%,1.4,3.4,42.6%,1.4,1.5,94.1%,0.3,2.6,3.0,2.0,0.9,0.6,0.1,2.4
Tiffany Mitchell,135000,UFA,33,21,23.1,7.3,2.6,6.5,40.4%,2.2,5.1,43.5%,0.4,1.4,28.9%,1.7,2.0,83.3%,0.5,1.8,2.3,2.3,2.1,0.5,0.1,2.7
Marine Johannes,62285,Reserved,35,5,18.9,7.1,2.5,6.1,41.4%,0.9,1.8,52.4%,1.6,4.3,36.8%,0.4,0.6,75.0%,0.2,1.2,1.4,1.7,1.3,0.7,0.1,1.6
Rebekah Gardner,100000,Reserved,3,0,19.8,7.0,2.0,4.7,42.9%,1.0,3.0,33.3%,1.0,1.7,60.0%,2.0,2.0,100.0%,0.3,3.3,3.7,2.3,1.7,2.0,0.3,2.7
Jordan Horston,68295,Rookie,36,17,22.4,6.9,2.8,7.6,36.7%,2.5,6.5,38.9%,0.3,1.1,24.4%,1.0,1.4,71.2%,1.3,3.8,5.1,1.6,2.0,1.2,0.6,2.2
Nia Coffey,135000,UFA,31,31,21.9,6.9,2.7,6.2,43.2%,1.6,3.5,45.5%,1.1,2.6,40.2%,0.5,0.8,62.5%,0.5,4.4,4.8,1.5,1.4,0.5,1.2,2.2
Alysha Clark,110000,UFA,39,1,22.5,6.7,2.3,5.3,44.4%,1.0,1.9,54.8%,1.3,3.4,38.6%,0.7,0.8,81.8%,0.5,2.9,3.4,1.1,0.7,0.6,0.2,2.2
Kristy Wallace,64657,Rookie,37,9,19.7,6.6,2.5,6.3,40.1%,1.5,4.0,38.1%,1.0,2.3,43.5%,0.6,0.8,75.0%,0.6,1.6,2.2,1.9,1.3,0.6,0.2,1.7
Ivana Dojkić,46758,UFA,23,15,20.0,6.5,2.1,5.2,40.3%,1.1,2.8,39.1%,1.0,2.4,41.8%,1.3,1.9,72.1%,0.2,1.6,1.7,2.8,1.5,0.8,0.2,1.9
Rebecca Allen,136850,UFA,40,27,21.5,6.4,2.5,6.0,40.8%,1.5,3.1,46.4%,1.0,2.9,34.8%,0.5,0.7,70.4%,0.7,2.1,2.8,0.9,0.9,0.9,1.3,1.9
Shatori Walker-Kimbrough,95000,UFA,40,15,24.8,6.3,2.2,5.1,42.9%,1.4,3.0,45.5%,0.8,2.1,39.0%,1.1,1.2,93.6%,0.2,1.9,2.1,1.7,0.7,0.7,0.4,1.2
Lindsay Allen,74305,UFA,29,20,24.1,6.2,2.2,5.6,39.9%,2.0,4.4,45.0%,0.2,1.2,20.6%,1.4,1.8,79.2%,0.6,1.9,2.4,4.5,1.3,0.6,0.1,2.1
Dorka Juhász,65290,Rookie,38,27,24.2,6.0,2.5,5.2,47.2%,2.1,4.0,53.6%,0.3,1.3,27.1%,0.7,1.3,54.0%,1.7,4.8,6.5,2.6,1.2,0.9,0.6,1.8
Nikolina Milic,90000,UFA,39,3,12.7,5.9,2.3,4.9,46.4%,2.1,4.4,47.6%,0.2,0.6,36.4%,1.2,1.4,80.4%,0.7,1.7,2.4,0.8,1.1,0.1,0.1,1.7
Kia Nurse,142500,UFA,40,20,19.7,5.9,2.0,5.8,34.3%,0.8,2.3,33.3%,1.3,3.6,35.0%,0.6,0.7,88.9%,0.3,2.0,2.3,1.3,0.7,0.6,0.1,1.9
Danielle Robinson,155000,UFA,32,27,21.6,5.8,2.2,4.8,46.1%,1.9,3.8,50.4%,0.3,1.0,29.0%,1.1,1.5,75.0%,0.3,1.9,2.2,3.3,1.3,0.7,0.1,2.0
Emma Cannon,80000,UFA,30,3,10.5,5.8,2.0,4.5,45.5%,1.6,3.3,48.0%,0.4,1.1,38.2%,1.3,1.5,90.9%,0.8,2.3,3.1,0.5,1.1,0.1,0.1,1.4
Tyasha Harris,83194,Rookie,40,0,16.7,5.8,2.2,5.2,41.6%,1.2,3.1,38.4%,1.0,2.1,46.4%,0.4,0.6,68.0%,0.1,0.7,0.9,1.7,1.0,0.7,0.1,1.1
Myisha Hines-Allen,175100,RFA,35,18,17.6,5.6,2.1,6.1,34.0%,1.6,4.3,36.9%,0.5,1.9,27.3%,0.9,1.3,71.7%,1.1,3.3,4.4,2.2,1.5,0.7,0.2,2.2
Li Meng,62285,Rookie,34,1,15.9,5.6,1.8,4.8,37.8%,0.5,1.3,41.9%,1.3,3.6,36.4%,0.6,0.8,84.6%,0.2,0.9,1.1,1.0,0.8,0.3,0.0,1.1
Rachel Banham,74305,UFA,32,1,13.6,5.5,1.9,5.2,37.0%,0.6,1.8,31.0%,1.3,3.3,40.2%,0.3,0.4,78.6%,0.1,0.9,1.0,1.7,1.1,0.3,0.1,1.4
Shey Peddy,74305,,18,0,15.9,5.2,1.7,4.7,36.9%,0.8,2.1,39.5%,0.9,2.6,34.8%,0.9,1.1,80.0%,0.4,1.4,1.8,1.8,0.6,0.8,0.1,1.7
Aerial Powers,201984,UFA,20,0,9.7,5.2,1.9,4.6,41.3%,1.6,3.7,43.8%,0.3,1.0,31.6%,1.1,1.2,91.7%,0.3,1.5,1.8,0.8,0.9,0.2,0.1,0.3
Victoria Vivians,135000,RFA,38,14,17.7,5.2,1.9,5.1,38.0%,1.2,2.6,46.9%,0.7,2.5,28.7%,0.6,0.8,76.7%,0.5,2.6,3.1,1.3,0.8,0.7,0.2,1.9
Mercedes Russell,160000,RFA,37,13,19.1,5.0,2.2,4.2,51.6%,2.2,4.2,51.9%,0.0,0.0,0.0%,0.6,1.0,60.5%,1.1,3.0,4.0,1.3,1.5,0.4,0.5,1.5
Queen Egbo,67634,Rookie,37,0,12.8,4.8,2.0,4.0,50.0%,2.0,4.0,50.0%,0.0,0.0,--,0.8,1.3,63.8%,1.1,3.2,4.3,0.3,0.9,0.4,0.6,2.3
Asia (AD) Durr,74305,Reserved,36,0,10.9,4.8,1.7,4.5,38.0%,1.2,2.9,41.3%,0.5,1.6,32.2%,0.8,1.1,76.9%,0.1,1.0,1.1,0.7,0.8,0.3,0.1,0.8
Monique Billings,145000,UFA,39,9,16.7,4.8,1.7,4.3,40.7%,1.7,4.2,41.7%,0.0,0.1,0.0%,1.3,1.6,83.6%,1.4,3.6,5.0,0.8,1.0,0.4,0.3,1.9
Zia Cooke,68295,Rookie,39,4,14.1,4.8,1.7,5.8,28.9%,1.2,4.0,30.1%,0.5,1.8,26.1%,1.0,1.2,81.3%,0.3,0.7,0.9,0.8,0.7,0.3,0.3,0.9
Lexie Hull,70609,Rookie,30,25,20.6,4.6,1.8,4.8,37.2%,1.4,2.8,48.2%,0.4,2.0,21.7%,0.6,0.7,77.3%,1.2,1.6,2.7,1.1,1.0,1.0,0.3,2.8
Olivia Nelson-Ododa,64657,Rookie,39,0,15.0,4.5,1.7,3.1,53.7%,1.7,3.1,53.7%,0.0,0.0,--,1.2,1.7,70.8%,1.3,2.4,3.7,0.6,0.8,0.5,0.8,2.2
Kayla Thornton,109716,,40,0,17.3,4.5,1.6,3.8,43.3%,1.0,1.8,57.1%,0.6,2.0,31.3%,0.6,0.8,76.7%,1.2,2.3,3.5,0.7,0.5,0.7,0.3,1.7
Morgan Bertsch,62285,UFA,28,5,14.2,4.4,1.7,3.7,45.6%,1.1,2.4,46.3%,0.6,1.3,44.4%,0.4,0.6,75.0%,0.4,1.3,1.7,0.7,1.1,0.4,0.3,1.8
Grace Berger,71300,,36,0,14.6,4.2,1.6,3.5,44.9%,1.1,2.6,44.1%,0.4,0.9,47.1%,0.6,0.7,84.0%,0.2,1.4,1.6,1.9,1.0,0.5,0.2,1.1
Naz Hillmon,64657,Rookie,40,3,13.5,4.1,1.5,2.9,50.9%,1.5,2.9,51.3%,0.0,0.0,0.0%,1.2,1.4,85.2%,1.3,2.2,3.4,0.7,1.0,0.2,0.1,1.5
Dulcy Fankam Mendjiadeu,65290,,33,21,14.2,4.1,1.7,3.2,52.3%,1.7,3.2,52.8%,0.0,0.0,0.0%,0.7,1.2,55.0%,1.8,2.8,4.5,0.4,0.9,0.4,0.3,2.2
Stefanie Dolson,160000,UFA,23,0,11.9,4.0,1.5,3.0,51.5%,1.0,1.8,54.8%,0.5,1.1,46.2%,0.5,0.6,78.6%,0.6,1.4,2.0,1.2,0.9,0.0,0.3,1.8
Ruthy Hebard,83194,Rookie,19,0,9.2,3.9,1.6,2.8,58.5%,1.6,2.8,58.5%,0.0,0.0,--,0.7,1.1,65.0%,0.9,1.5,2.4,0.4,0.2,0.3,0.4,1.3
Robyn Parks,62285,UFA,37,2,13.7,3.9,1.4,3.8,38.1%,0.6,1.4,40.4%,0.9,2.4,36.8%,0.2,0.2,100.0%,0.4,1.2,1.6,0.4,0.5,0.3,0.1,0.9
Cyesha Goree,13811,Hardship,10,0,11.6,3.9,1.5,3.2,46.9%,1.2,1.8,66.7%,0.3,1.4,21.4%,0.6,0.7,85.7%,0.7,0.5,1.2,0.1,0.4,0.3,0.1,1.2
Destanni Henderson,12186,Hardship,15,1,13.3,3.8,1.3,3.8,33.3%,1.1,2.2,48.5%,0.2,1.6,12.5%,1.1,1.4,76.2%,0.2,0.6,0.8,1.8,0.9,0.5,0.1,1.2
Destanni Henderson,7582,Hardship,15,1,13.3,3.8,1.3,3.8,33.3%,1.1,2.2,48.5%,0.2,1.6,12.5%,1.1,1.4,76.2%,0.2,0.6,0.8,1.8,0.9,0.5,0.1,1.2
Maddy Siegrist,74305,Rookie,39,0,8.2,3.7,1.5,2.9,50.9%,1.3,2.5,53.6%,0.1,0.4,33.3%,0.7,0.7,93.1%,0.9,0.6,1.6,0.2,0.2,0.2,0.2,0.7
Haley Jones,71300,,40,6,14.6,3.7,1.4,4.2,33.7%,1.3,3.5,36.2%,0.2,0.7,21.4%,0.8,1.0,75.6%,0.4,2.0,2.4,2.3,1.4,0.4,0.3,1.7
Kierstan Bell,67634,Rookie,36,0,11.8,3.7,1.5,4.3,34.6%,0.9,2.0,46.5%,0.6,2.3,24.4%,0.2,0.3,60.0%,0.4,1.2,1.6,0.5,0.4,0.4,0.1,1.3
Kristi Toliver,75000,UFA,11,0,9.0,3.6,1.2,3.5,33.3%,0.3,1.0,27.3%,0.9,2.5,35.7%,0.4,0.5,80.0%,0.1,0.6,0.7,0.7,0.6,0.3,0.0,0.8
Rae Burrell,34934,Hardship,29,3,11.1,3.6,1.2,3.2,38.7%,0.7,1.8,38.5%,0.6,1.4,39.0%,0.6,0.7,81.0%,0.4,0.8,1.2,0.6,0.5,0.4,0.1,0.9
Rae Burrell,1219,Hardship,29,3,11.1,3.6,1.2,3.2,38.7%,0.7,1.8,38.5%,0.6,1.4,39.0%,0.6,0.7,81.0%,0.4,0.8,1.2,0.6,0.5,0.4,0.1,0.9
Sika Koné,62285,Rookie,20,0,9.3,3.6,1.3,2.4,53.2%,1.2,2.1,56.1%,0.1,0.3,33.3%,1.0,1.3,76.9%,1.1,1.9,3.0,0.5,1.1,0.2,0.1,1.7
Brianna Turner,150000,,40,33,26.3,3.5,1.7,2.6,65.0%,1.7,2.6,65.0%,0.0,0.0,--,0.2,0.3,50.0%,1.3,5.1,6.3,1.3,1.5,1.0,1.1,2.2
Joyner Holmes,60736,UFA,34,2,10.5,3.3,1.2,3.2,37.3%,0.8,1.8,41.9%,0.4,1.4,31.3%,0.5,0.6,76.2%,0.7,1.8,2.5,0.8,0.6,0.3,0.3,1.1
Joyner Holmes,13569,UFA,34,2,10.5,3.3,1.2,3.2,37.3%,0.8,1.8,41.9%,0.4,1.4,31.3%,0.5,0.6,76.2%,0.7,1.8,2.5,0.8,0.6,0.3,0.3,1.1
Bridget Carleton,91000,RFA,38,4,15.1,3.2,1.1,3.1,34.5%,0.3,0.8,36.7%,0.8,2.3,33.7%,0.3,0.4,73.3%,0.5,1.8,2.3,0.9,0.4,0.3,0.1,1.3
Taylor Mikesell,16790,UFA,6,0,4.9,2.8,0.8,1.7,50.0%,0.3,0.5,66.7%,0.5,1.2,42.9%,0.7,0.7,100.0%,0.0,0.3,0.3,0.3,0.2,0.0,0.0,0.0
Laeticia Amihere,71300,,20,0,7.3,2.8,0.9,2.1,40.5%,0.9,2.1,41.5%,0.0,0.1,0.0%,1.1,2.1,53.7%,0.3,0.8,1.0,0.2,0.6,0.3,0.5,1.1
Jasmine Thomas,190000,UFA,32,7,12.8,2.7,0.9,3.4,27.3%,0.5,1.5,31.3%,0.5,1.9,24.2%,0.3,0.3,90.9%,0.3,0.8,1.1,1.3,0.7,0.3,0.2,0.9
Jade Melbourne,62285,,29,0,10.6,2.6,0.9,2.2,39.1%,0.8,1.5,50.0%,0.1,0.7,15.0%,0.8,1.0,79.3%,0.2,1.0,1.2,1.2,0.9,0.4,0.0,1.6
