Player,2023 Salary,2023 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Jewell Loyd,234936,Core,38,38,35.4,24.7,7.5,20.3,37.0%,4.5,11.8,38.0%,3.0,8.5,35.6%,6.7,7.5,88.8%,1.1,3.6,4.7,3.4,2.8,1.0,0.4,1.7
Breanna Stewart,180000,UFA,40,40,34.1,23.0,7.9,17.0,46.5%,5.9,11.2,52.1%,2.1,5.8,35.5%,5.1,6.0,85.1%,1.6,7.7,9.3,3.8,1.5,1.5,1.6,1.9
A'ja Wilson,202154,RFA,40,40,30.7,22.8,8.4,15.0,55.7%,8.2,14.3,57.0%,0.2,0.7,31.0%,5.8,7.2,81.2%,2.1,7.5,9.5,1.6,1.6,1.4,2.2,2.1
Napheesa Collier,202154,,37,37,33.5,21.5,8.0,16.6,48.5%,7.1,13.5,52.7%,0.9,3.1,29.8%,4.5,5.4,84.0%,1.9,6.6,8.5,2.5,2.4,1.6,1.2,2.4
Arike Ogunbowale,234936,,40,40,37.2,21.2,7.5,18.8,39.8%,4.6,10.3,44.3%,2.9,8.5,34.3%,3.4,3.8,87.6%,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7
Nneka Ogwumike,199530,UFA,36,36,31.1,19.1,7.3,14.3,51.2%,6.8,12.6,53.5%,0.6,1.7,33.9%,3.9,4.5,87.0%,1.7,7.1,8.8,2.7,2.2,1.7,0.7,2.6
Kahleah Copper,205000,Core,38,38,31.2,18.7,6.9,15.4,44.8%,5.1,10.9,46.6%,1.8,4.5,40.4%,3.1,4.0,77.0%,0.7,3.7,4.4,2.0,2.5,0.9,0.3,2.4
Kelsey Plum,200000,,39,39,32.4,18.7,6.4,13.4,47.5%,3.9,7.2,55.0%,2.4,6.3,38.9%,3.5,3.8,91.2%,0.2,2.2,2.4,4.5,2.1,1.1,0.0,2.4
Satou Sabally,86701,Rookie,38,38,33.1,18.6,6.2,14.3,43.5%,4.5,9.5,47.2%,1.7,4.8,36.1%,4.4,5.0,87.4%,2.3,5.8,8.1,4.4,2.9,1.8,0.4,3.6
Kelsey Mitchell,206000,,40,40,33.7,18.2,6.1,13.9,44.1%,3.6,7.5,47.8%,2.6,6.4,39.8%,3.4,4.1,82.4%,0.3,1.3,1.6,3.1,2.3,0.9,0.1,2.0
Jackie Young,165000,,40,40,31.5,17.6,6.2,11.9,52.3%,4.0,7.0,57.6%,2.2,5.0,44.9%,2.9,3.4,86.7%,0.7,3.4,4.0,3.8,1.8,1.3,0.1,2.0
Brittney Griner,165100,UFA,31,31,27.6,17.5,7.1,12.6,56.0%,7.0,12.3,57.1%,0.0,0.3,11.1%,3.4,4.4,77.2%,1.2,5.1,6.3,2.2,2.1,0.5,1.6,2.1
Rhyne Howard,73584,Rookie,39,39,32.9,17.5,5.8,15.1,38.5%,3.3,7.8,41.5%,2.5,7.2,35.2%,3.3,4.2,78.8%,0.7,4.3,4.9,3.5,1.9,1.3,0.6,2.8
DeWanna Bonner,234350,,40,40,30.1,17.4,5.8,13.7,42.5%,4.0,8.0,49.4%,1.9,5.7,32.9%,3.9,4.5,86.2%,0.9,4.7,5.6,2.2,1.5,1.1,0.6,1.6
Allisha Gray,194600,RFA,38,38,32.7,17.1,5.8,12.4,46.5%,4.7,9.3,50.1%,1.1,3.1,35.6%,4.4,5.4,82.4%,1.2,3.7,4.9,3.1,1.9,1.1,0.4,2.6
Sabrina Ionescu,86701,Rookie,36,36,31.5,17.0,5.4,12.8,42.3%,1.9,4.9,38.3%,3.6,7.9,44.8%,2.6,3.0,87.2%,0.8,4.8,5.6,5.4,2.6,1.0,0.3,1.7
Elena Delle Donne,234350,,23,23,27.5,16.7,6.2,12.7,48.5%,5.1,10.1,50.9%,1.0,2.7,39.3%,3.3,3.5,93.8%,0.9,4.6,5.4,2.1,1.3,0.8,0.9,1.9
Natasha Howard,227900,Core,39,39,33.0,16.5,6.3,13.8,45.8%,5.4,10.6,50.7%,1.0,3.3,29.9%,2.8,3.5,81.5%,2.2,5.9,8.0,2.6,2.8,1.3,1.2,3.6
Diana Taurasi,234936,UFA,26,26,27.3,16.0,4.9,12.2,40.3%,2.5,5.0,48.9%,2.5,7.2,34.2%,3.7,4.3,84.8%,0.1,3.5,3.6,4.6,3.0,0.5,0.5,2.6
Brionna Jones,208000,Core,13,13,31.7,15.9,6.2,10.8,57.1%,6.0,10.5,57.4%,0.2,0.3,50.0%,3.5,4.5,77.6%,3.2,5.0,8.2,2.4,2.2,1.8,0.5,4.1
Brittney Sykes,190000,UFA,40,40,31.3,15.9,5.7,13.1,43.9%,4.3,9.1,47.8%,1.4,4.0,35.0%,3.1,3.8,79.7%,1.0,4.0,5.0,3.8,2.4,2.1,0.3,2.9
Alyssa Thomas,212000,UFA,40,40,36.1,15.5,6.1,12.8,47.4%,6.1,12.8,47.6%,0.0,0.1,0.0%,3.3,4.7,71.5%,2.0,7.9,9.9,7.9,3.4,1.8,0.5,2.7
NaLyssa Smith,73584,Rookie,31,28,28.5,15.5,6.1,12.7,47.7%,5.5,10.5,51.7%,0.6,2.2,28.4%,2.7,4.0,67.7%,2.1,7.1,9.2,1.4,2.7,0.3,0.3,3.0
Chelsea Gray,196267,UFA,40,40,32.2,15.3,5.6,11.5,49.0%,4.0,7.7,52.4%,1.6,3.8,42.1%,2.4,2.7,89.7%,0.3,3.7,4.0,7.3,2.5,1.4,0.6,1.8
Cheyenne Parker-Tyus,216100,UFA,40,38,26.6,15.0,5.8,12.0,48.2%,5.4,10.7,50.8%,0.4,1.4,27.8%,3.0,3.7,82.9%,2.2,4.5,6.7,1.8,2.3,1.1,1.5,2.9
Marina Mabrey,202000,RFA,39,39,30.0,15.0,5.2,12.6,41.1%,2.9,6.7,43.0%,2.3,5.8,39.0%,2.4,2.8,83.6%,0.9,2.9,3.7,3.6,2.2,0.7,0.5,2.4
Aliyah Boston,74305,Rookie,40,40,31.2,14.5,5.8,10.1,57.8%,5.7,9.8,58.3%,0.1,0.3,40.0%,2.7,3.6,74.5%,3.1,5.3,8.4,2.2,1.9,1.3,1.3,3.1
Kayla McBride,201984,UFA,38,38,31.8,14.3,4.9,11.6,42.4%,2.7,5.2,52.5%,2.2,6.4,34.2%,2.2,2.6,86.7%,0.4,2.8,3.2,2.2,1.7,1.2,0.2,1.7
Ezi Magbegor,159650,Reserved,40,40,32.6,13.8,5.4,10.6,51.3%,4.7,8.6,54.2%,0.8,2.0,38.5%,2.2,3.1,69.9%,1.6,6.5,8.1,2.6,2.4,1.1,1.9,3.2
Jordin Canada,74305,UFA,38,38,32.6,13.3,4.3,10.6,40.4%,3.2,7.4,43.6%,1.1,3.2,33.3%,3.6,4.2,87.3%,0.2,2.8,3.1,6.0,2.7,2.3,0.2,2.3
Betnijah Laney-Hamilton,201984,UFA,40,40,30.0,12.8,5.0,10.0,49.9%,3.5,6.2,56.5%,1.5,3.8,39.2%,1.3,1.7,79.1%,0.8,2.5,3.3,2.4,1.9,0.9,0.1,2.2
Natasha Cloud,190000,SuspCE,37,37,32.4,12.7,4.0,10.7,37.7%,2.8,6.6,42.6%,1.2,4.1,29.8%,3.4,3.8,90.0%,0.2,3.5,3.7,6.2,2.6,1.1,0.3,2.6
Lexie Brown,78000,UFA,12,11,30.3,12.4,4.5,9.3,48.6%,2.3,3.8,58.7%,2.3,5.4,41.5%,1.2,1.3,87.5%,0.2,1.9,2.1,2.4,1.3,0.9,0.3,1.2
Diamond Miller,74305,,32,32,26.1,12.1,4.4,10.8,40.3%,3.4,7.7,44.3%,1.0,3.2,30.7%,2.4,3.0,79.2%,0.7,2.8,3.5,2.5,2.3,0.9,0.3,2.5
Tiffany Hayes,162477,SuspCE,40,40,27.0,12.1,4.2,8.8,47.6%,3.0,5.6,54.1%,1.2,3.3,36.6%,2.5,3.2,77.8%,1.0,2.1,3.0,2.6,1.4,0.9,0.1,2.9
Teaira McCowan,190000,RFA,30,29,26.1,11.9,5.0,9.1,55.1%,5.0,8.9,56.0%,0.0,0.1,0.0%,1.9,3.3,58.6%,3.5,5.6,9.1,1.5,1.5,0.5,1.2,3.3
Ariel Atkins,175000,,27,27,25.2,11.5,3.9,9.3,41.4%,2.3,4.7,48.8%,1.6,4.6,33.9%,2.3,2.5,89.7%,0.7,2.4,3.1,2.3,1.3,1.2,0.3,2.6
Jonquel Jones,211150,Core,40,40,25.0,11.3,4.4,8.4,52.7%,3.6,6.1,59.3%,0.8,2.3,35.2%,1.7,2.0,86.3%,2.6,5.8,8.4,1.8,2.1,0.6,1.3,2.8
Sophie Cunningham,150000,RFA,31,31,29.0,11.3,3.6,8.7,41.3%,1.7,3.1,54.6%,1.9,5.5,33.7%,2.3,2.6,87.5%,0.5,2.3,2.8,2.1,1.5,0.6,0.4,3.2
Layshia Clarendon,74305,UFA,24,24,28.6,11.1,4.0,8.0,49.7%,3.1,6.1,51.0%,0.9,1.9,45.7%,2.3,2.5,91.5%,1.0,2.1,3.0,3.4,2.3,1.1,0.0,2.6
Azurá Stevens,190000,UFA,35,29,26.0,10.8,4.3,10.5,40.4%,3.3,7.4,43.8%,1.0,3.1,32.1%,1.3,1.7,75.4%,1.5,4.4,5.9,1.1,1.5,1.2,0.9,2.6
Courtney Vandersloot,194000,UFA,39,39,30.4,10.5,4.1,9.3,44.2%,3.2,6.1,52.1%,0.9,3.2,29.4%,1.3,1.7,76.1%,0.5,3.0,3.5,8.1,2.7,1.3,0.6,2.0
Moriah Jefferson,137500,UFA,39,36,24.9,10.5,4.2,9.8,43.3%,3.3,7.0,46.5%,1.0,2.8,35.2%,1.1,1.3,82.0%,0.2,1.7,2.0,3.6,1.6,1.1,0.2,2.2
Courtney Williams,160000,UFA,40,40,30.1,10.4,4.4,10.1,43.7%,3.2,7.4,43.4%,1.2,2.7,44.3%,0.4,0.6,60.0%,1.0,5.1,6.0,6.3,2.5,1.0,0.3,1.6
