team_name,wins,losses,win_loss_pct,gb
New York Liberty*,32,8,.800,—
Minnesota Lynx*,30,10,.750,2.0
Connecticut Sun*,28,12,.700,4.0
Las Vegas Aces*,27,13,.675,5.0
Seattle Storm*,25,15,.625,7.0
Indiana Fever*,20,20,.500,12.0
Phoenix Mercury*,19,21,.475,13.0
Atlanta Dream*,15,25,.375,17.0
Washington Mystics,14,26,.350,18.0
Chicago Sky,13,27,.325,19.0
Dallas Wings,9,31,.225,23.0
Los Angeles Sparks,8,32,.200,24.0
