team_name,wins,losses,win_loss_pct,gb
Connecticut Sun*,26,6,.813,—
Las Vegas Aces*,24,8,.750,2.0
Minnesota Lynx*,22,10,.688,4.0
Seattle Storm*,21,11,.656,5.0
Phoenix Mercury*,19,13,.594,7.0
Chicago Sky*,16,16,.500,10.0
Dallas Wings*,14,18,.438,12.0
New York Liberty*,12,20,.375,14.0
Washington Mystics,12,20,.375,14.0
Los Angeles Sparks,12,20,.375,14.0
Atlanta Dream,8,24,.250,18.0
Indiana Fever,6,26,.188,20.0
