Player,2021 Salary,2021 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Tina Charles,175000,UFA,27,27,33.3,23.4,8.8,19.6,44.9%,7.0,14.6,47.8%,1.9,5.1,36.5%,3.9,4.7,82.0%,2.7,6.9,9.6,2.1,2.2,0.9,0.9,2.3
Brittney Griner,221450,,30,30,32.8,20.5,8.3,14.4,57.5%,8.1,14.1,57.8%,0.1,0.3,44.4%,3.8,4.5,84.6%,2.4,7.1,9.5,2.7,2.2,0.4,1.9,2.4
Breanna Stewart,190550,,28,28,33.3,20.3,6.9,15.8,43.9%,5.2,10.7,48.8%,1.7,5.1,33.6%,4.8,5.6,84.7%,1.2,8.4,9.6,2.7,1.6,1.2,1.7,1.8
Jonquel Jones,190550,,27,27,31.7,19.4,7.1,13.8,51.5%,5.6,9.5,58.4%,1.6,4.3,36.2%,3.6,4.5,80.2%,2.5,8.7,11.2,2.8,2.9,1.3,1.3,3.1
Arike Ogunbowale,58710,,32,32,31.4,18.7,6.2,16.3,38.3%,3.7,9.6,38.8%,2.5,6.7,37.6%,3.8,4.4,86.4%,0.7,2.5,3.2,3.3,2.1,1.1,0.0,2.3
A'ja Wilson,70040,Rookie,32,32,31.9,18.3,6.5,14.6,44.4%,6.4,14.5,44.3%,0.0,0.0,100.0%,5.3,6.0,87.6%,2.0,7.3,9.3,3.1,1.4,0.9,1.3,1.5
Jewell Loyd,121500,,31,31,31.0,17.9,6.2,14.8,42.0%,4.1,9.2,44.8%,2.1,5.6,37.6%,3.4,3.8,88.9%,0.8,3.3,4.0,3.8,2.3,1.5,0.2,2.1
Kelsey Mitchell,70040,,32,32,33.1,17.8,6.6,15.4,43.1%,4.4,8.8,50.2%,2.2,6.5,33.5%,2.3,2.7,88.2%,0.7,2.0,2.6,2.5,2.0,1.1,0.2,2.3
Skylar Diggins,221450,,32,32,32.5,17.7,5.5,12.3,45.2%,4.0,8.0,49.4%,1.6,4.2,37.0%,5.1,6.2,81.8%,0.5,2.6,3.2,5.3,2.6,1.1,0.8,2.2
Betnijah Laney-Hamilton,209550,UFA,32,32,33.4,16.8,6.3,14.1,45.1%,5.3,10.7,49.6%,1.1,3.4,31.2%,3.0,3.8,78.7%,0.8,3.3,4.1,5.2,3.7,0.7,0.1,2.2
Courtney Williams,190550,,32,32,34.4,16.5,7.1,17.1,41.8%,5.9,13.9,42.6%,1.2,3.2,38.2%,1.1,1.7,64.2%,1.4,5.4,6.8,4.0,1.8,1.1,0.5,1.7
Ariel Atkins,70040,,30,30,30.6,16.2,5.4,13.2,40.7%,3.2,7.1,44.8%,2.2,6.1,35.9%,3.3,3.9,83.1%,1.1,1.6,2.8,2.6,2.0,1.6,0.5,3.2
Napheesa Collier,58710,,29,29,34.6,16.2,6.0,13.7,44.1%,5.3,10.8,49.0%,0.7,2.9,25.3%,3.4,3.9,86.0%,1.7,4.9,6.6,3.2,2.3,1.3,1.3,2.8
Natasha Howard,215000,Core,13,13,27.5,16.2,6.7,13.5,49.4%,5.8,10.8,53.6%,0.9,2.8,33.3%,1.8,2.4,77.4%,2.2,5.1,7.2,1.7,3.8,1.3,0.5,2.9
Sylvia Fowles,117894,,31,31,30.1,16.0,6.7,10.5,64.0%,6.7,10.5,64.0%,0.0,0.0,--,2.6,3.4,75.5%,2.1,8.0,10.1,1.4,2.3,1.8,1.8,2.5
DeWanna Bonner,221450,,32,32,31.9,15.2,5.0,12.6,39.5%,3.6,8.3,43.6%,1.4,4.3,31.7%,3.9,4.3,89.2%,0.7,5.8,6.4,3.5,2.2,1.3,0.7,1.6
Kelsey Plum,175000,,26,0,25.6,14.8,4.9,11.3,43.7%,3.2,6.9,46.9%,1.7,4.4,38.6%,3.3,3.5,94.4%,0.4,2.1,2.5,3.6,1.7,1.0,0.0,2.2
Brionna Jones,120000,RFA,32,32,30.6,14.7,6.1,10.6,57.1%,6.1,10.5,57.6%,0.0,0.1,0.0%,2.6,3.2,79.6%,3.2,4.1,7.3,1.8,2.2,1.4,0.5,3.0
Tiffany Hayes,119780,,21,19,28.3,14.7,5.0,11.4,43.8%,3.4,7.4,45.5%,1.6,4.0,40.5%,3.0,3.6,85.3%,0.7,2.5,3.2,3.0,1.5,1.6,0.2,3.1
Nneka Ogwumike,190550,Core,18,18,31.7,14.5,6.1,11.4,53.2%,5.4,9.7,56.0%,0.6,1.7,36.7%,1.8,2.2,80.0%,1.4,5.1,6.5,2.7,2.2,1.4,0.3,1.8
Kahleah Copper,165000,,32,32,30.8,14.4,5.4,11.8,45.9%,4.6,9.1,50.3%,0.8,2.7,30.6%,2.8,3.4,81.8%,1.2,3.0,4.2,1.8,1.9,0.8,0.3,3.0
Diana Taurasi,221450,UFA,17,16,26.7,14.3,4.1,11.3,36.5%,1.7,4.2,40.8%,2.4,7.1,33.9%,3.6,4.2,86.1%,0.2,4.0,4.2,4.6,2.8,0.2,0.5,2.2
Liz Cambage,221450,Core,25,24,23.8,14.2,5.6,10.3,54.3%,5.4,9.8,55.3%,0.2,0.6,35.7%,2.8,4.0,71.0%,1.6,6.7,8.2,1.3,1.8,0.9,1.6,3.0
Chennedy Carter,69360,,11,11,25.5,14.2,5.5,12.0,45.5%,5.4,11.2,48.0%,0.1,0.8,11.1%,3.2,3.6,87.5%,0.5,0.8,1.3,3.3,2.1,0.7,0.4,3.0
Kayla McBride,190550,UFA,32,32,31.6,13.7,4.5,10.3,43.3%,2.6,5.3,48.5%,1.9,5.0,37.9%,2.8,3.1,91.0%,0.3,3.3,3.6,2.3,1.1,0.8,0.2,1.8
Elena Delle Donne,221450,,3,3,17.4,13.7,4.3,9.0,48.1%,3.3,7.3,45.5%,1.0,1.7,60.0%,4.0,4.0,100.0%,1.0,3.3,4.3,0.7,0.7,0.0,0.3,0.7
Erica Wheeler,180000,UFA,32,32,30.2,13.6,5.0,12.0,41.7%,4.0,9.1,43.6%,1.0,2.9,35.5%,2.5,3.1,82.7%,0.5,2.6,3.1,4.8,2.7,1.3,0.3,2.7
Aerial Powers,190550,UFA,14,7,22.0,13.4,4.4,10.2,42.7%,3.6,7.7,46.3%,0.8,2.5,31.4%,3.9,4.3,91.7%,0.9,2.7,3.6,2.1,2.9,0.4,0.4,2.1
Candace Parker,190000,UFA,23,23,26.8,13.3,5.0,11.0,45.8%,4.0,7.8,51.1%,1.0,3.2,32.9%,2.2,2.7,79.4%,1.4,7.0,8.4,4.0,2.4,0.8,1.1,1.6
Marina Mabrey,58710,,32,8,24.2,13.3,4.9,12.2,40.5%,3.0,6.4,46.1%,2.0,5.8,34.2%,1.4,1.6,88.2%,0.7,3.2,3.9,2.9,2.1,1.0,0.3,2.5
Allie Quigley,194000,,26,11,24.4,13.2,4.7,10.4,44.8%,2.6,5.8,44.4%,2.1,4.6,45.4%,1.8,1.9,95.9%,0.7,2.0,2.7,2.3,1.2,0.5,0.3,1.4
Myisha Hines-Allen,70040,,19,17,24.3,12.2,4.7,11.3,41.4%,4.0,9.2,43.7%,0.7,2.2,31.7%,2.2,2.9,73.2%,1.7,4.9,6.6,2.4,1.7,1.3,0.6,2.4
Jackie Young,60069,,32,32,31.8,12.2,4.8,9.6,50.7%,4.7,8.9,52.4%,0.2,0.6,25.0%,2.3,2.8,83.3%,0.6,3.4,4.1,3.2,1.5,1.1,0.3,1.8
Tiffany Mitchell,144200,,28,25,27.3,12.0,3.8,9.1,42.1%,3.4,7.4,45.9%,0.4,1.7,25.5%,3.9,4.5,88.0%,0.9,2.0,2.9,2.0,1.9,0.6,0.0,1.9
Satou Sabally,69360,Rookie,17,14,24.9,11.9,4.1,9.7,41.8%,3.0,6.5,46.4%,1.1,3.2,32.7%,2.8,3.6,77.0%,1.6,4.3,5.9,2.8,2.3,0.2,0.8,3.2
Allisha Gray,160000,RFA,25,16,27.8,11.9,4.2,9.7,43.8%,3.0,6.4,47.5%,1.2,3.3,36.6%,2.2,2.6,86.2%,1.3,3.9,5.2,1.7,1.4,1.0,0.8,2.1
Sabrina Ionescu,69360,Rookie,30,26,30.0,11.7,3.8,9.9,37.9%,2.0,4.4,44.7%,1.8,5.5,32.5%,2.4,2.6,91.1%,0.7,5.0,5.7,6.1,3.2,0.6,0.5,1.8
Sami Whitcomb,150350,RFA,30,28,28.1,11.7,4.1,8.7,47.3%,1.6,2.8,57.8%,2.5,6.0,42.5%,0.9,1.1,81.8%,0.3,4.7,5.0,2.7,2.1,1.0,0.3,1.8
Dearica Hamby,152300,,29,0,24.5,11.6,4.4,8.0,54.5%,4.1,6.8,59.9%,0.3,1.2,25.0%,2.6,3.9,65.5%,1.1,5.5,6.7,1.7,1.5,1.1,0.1,2.0
Diamond DeShields,70040,,32,22,26.9,11.3,3.8,9.8,39.3%,3.1,7.3,42.5%,0.8,2.5,30.0%,2.8,3.5,82.0%,0.4,3.1,3.5,2.3,1.9,1.2,0.4,3.2
Teaira McCowan,60069,,32,23,26.5,11.3,4.3,8.0,53.7%,4.3,8.0,53.7%,0.0,0.0,--,2.7,4.1,64.4%,3.4,6.2,9.6,1.1,1.7,0.6,1.6,3.3
Chelsea Gray,190550,UFA,32,32,28.9,11.1,4.6,10.2,45.4%,3.8,8.0,47.5%,0.8,2.2,38.0%,1.0,1.1,88.9%,0.5,2.4,2.9,5.9,2.8,1.2,0.3,1.3
Isabelle Harrison,154500,,28,5,23.7,10.9,4.6,8.6,53.8%,4.6,8.5,54.0%,0.0,0.0,0.0%,1.7,2.1,78.3%,1.6,4.3,5.9,1.1,1.5,1.1,0.7,2.5
Jasmine Thomas,185000,UFA,30,30,29.6,10.6,3.8,9.8,38.6%,2.4,6.3,37.8%,1.4,3.5,40.0%,1.6,1.9,87.5%,0.4,2.0,2.4,4.1,2.2,1.3,0.2,1.8
Riquna Williams,91250,UFA,32,32,26.0,10.5,3.6,8.0,44.4%,1.6,3.3,48.1%,2.0,4.7,41.7%,1.4,1.6,92.0%,0.2,2.4,2.6,1.6,0.7,0.8,0.3,1.5
Courtney Vandersloot,200000,,32,32,30.5,10.5,4.0,9.3,43.3%,2.9,6.1,47.9%,1.1,3.3,34.6%,1.3,1.5,85.7%,0.5,2.9,3.4,8.6,3.0,1.7,0.4,2.1
Cheyenne Parker-Tyus,185000,UFA,13,11,20.8,10.2,3.8,8.5,45.5%,3.1,6.2,50.0%,0.8,2.3,33.3%,1.7,2.2,78.6%,1.0,3.5,4.5,1.2,1.3,1.2,0.9,2.2
Sue Bird,221450,UFA ,30,30,27.7,10.0,3.5,8.2,43.1%,1.3,2.9,45.3%,2.2,5.3,41.9%,0.7,0.8,83.3%,0.3,2.3,2.6,5.3,1.6,0.9,0.1,1.0
Layshia Clarendon,120000,,22,20,24.7,9.9,4.2,8.1,51.7%,4.0,7.5,53.0%,0.2,0.6,35.7%,1.3,1.7,78.4%,0.5,2.4,3.0,5.4,3.0,0.6,0.0,2.7
Layshia Clarendon,33914,ROS,22,20,24.7,9.9,4.2,8.1,51.7%,4.0,7.5,53.0%,0.2,0.6,35.7%,1.3,1.7,78.4%,0.5,2.4,3.0,5.4,3.0,0.6,0.0,2.7
Layshia Clarendon,17694,Hardship,22,20,24.7,9.9,4.2,8.1,51.7%,4.0,7.5,53.0%,0.2,0.6,35.7%,1.3,1.7,78.4%,0.5,2.4,3.0,5.4,3.0,0.6,0.0,2.7
Danielle Robinson,155000,UFA,24,24,27.5,9.9,3.7,8.8,41.7%,3.5,7.8,44.6%,0.2,1.0,20.0%,2.3,2.6,88.9%,0.3,3.2,3.5,3.7,1.8,1.6,0.1,2.1
