team_name,wins,losses,win_loss_pct,gb
Minnesota Lynx*,34,10,.773,—
Las Vegas Aces*,30,14,.682,4.0
Atlanta Dream*,30,14,.682,4.0
Phoenix Mercury*,27,17,.614,7.0
New York Liberty*,27,17,.614,7.0
Indiana Fever*,24,20,.545,10.0
Seattle Storm*,23,21,.523,11.0
Golden State Valkyries*,23,21,.523,11.0
Los Angeles Sparks,21,23,.477,13.0
Washington Mystics,16,28,.364,18.0
Connecticut Sun,11,33,.250,23.0
Chicago Sky,10,34,.227,24.0
Dallas Wings,10,34,.227,24.0
