team_name,wins,losses,win_loss_pct,gb
Las Vegas Aces*,26,10,.722,—
Chicago Sky*,26,10,.722,—
Connecticut Sun*,25,11,.694,1.0
Seattle Storm*,22,14,.611,4.0
Washington Mystics*,22,14,.611,4.0
Dallas Wings*,18,18,.500,8.0
New York Liberty*,16,20,.444,10.0
Phoenix Mercury*,15,21,.417,11.0
Minnesota Lynx,14,22,.389,12.0
Atlanta Dream,14,22,.389,12.0
Los Angeles Sparks,13,23,.361,13.0
Indiana Fever,5,31,.139,21.0
