team_name,wins,losses,win_loss_pct,gb
Las Vegas Aces*,34,6,.850,—
New York Liberty*,32,8,.800,2.0
Connecticut Sun*,27,13,.675,7.0
Dallas Wings*,22,18,.550,12.0
Atlanta Dream*,19,21,.475,15.0
Minnesota Lynx*,19,21,.475,15.0
Washington Mystics*,19,21,.475,15.0
Chicago Sky*,18,22,.450,16.0
Los Angeles Sparks,17,23,.425,17.0
Indiana Fever,13,27,.325,21.0
Seattle Storm,11,29,.275,23.0
Phoenix Mercury,9,31,.225,25.0
