Player,2025 Salary,2025 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
A'ja Wilson,200000,RFA,40,40,31.2,23.4,8.3,16.4,50.5%,7.7,15.0,51.3%,0.6,1.5,42.4%,6.2,7.3,85.5%,2.3,7.9,10.2,3.1,2.2,1.6,2.3,1.9
Napheesa Collier,214284,,33,33,32.3,22.9,8.3,15.7,53.1%,6.8,11.9,57.1%,1.5,3.8,40.3%,4.7,5.2,90.6%,1.9,5.4,7.3,3.2,2.1,1.6,1.5,2.4
Kelsey Mitchell,269244,Core,44,44,31.4,20.2,7.2,15.7,45.6%,4.6,9.3,49.9%,2.5,6.4,39.4%,3.4,4.3,78.4%,0.4,1.3,1.8,3.4,1.8,0.9,0.2,2.0
Kelsey Plum,202000,Core,43,43,35.1,19.5,6.1,14.4,42.2%,3.8,7.9,47.8%,2.3,6.5,35.5%,5.1,5.7,89.3%,0.2,2.8,3.1,5.7,3.0,1.2,0.1,2.7
Paige Bueckers,78831,Rookie,36,36,33.3,19.2,7.2,15.1,47.7%,6.1,11.8,51.8%,1.1,3.3,33.1%,3.8,4.2,88.8%,0.7,3.3,3.9,5.4,2.0,1.6,0.5,2.3
Dearica Hamby,202000,,44,44,31.2,18.4,7.4,12.9,57.2%,7.0,11.6,60.4%,0.3,1.2,27.8%,3.4,5.4,62.7%,2.6,5.4,7.9,3.3,2.7,1.6,0.5,2.7
Allisha Gray,190000,RFA,42,42,34.5,18.4,5.9,13.0,45.1%,3.5,6.9,50.9%,2.3,6.1,38.4%,4.4,5.5,79.9%,0.9,4.5,5.3,3.5,1.8,1.1,0.4,2.6
Breanna Stewart,222400,Core,31,31,30.6,18.3,6.1,13.2,46.1%,5.4,10.4,52.0%,0.7,2.8,24.1%,5.5,6.5,83.7%,1.0,5.5,6.5,3.5,1.9,1.4,1.4,1.9
Nneka Ogwumike,195000,UFA,44,44,30.9,18.3,7.3,14.0,51.9%,5.8,9.9,58.1%,1.5,4.1,36.7%,2.2,2.7,82.2%,1.3,5.7,7.0,2.3,1.9,1.1,0.4,1.9
Sabrina Ionescu,222060,Rookie,38,38,31.4,18.2,6.1,15.1,40.1%,3.9,7.9,49.3%,2.1,7.1,29.9%,4.0,4.3,93.3%,0.8,4.1,4.9,5.7,2.6,1.3,0.4,1.7
