feature,importance
start_rate,0.48454096647324546
pts_vet,0.15260566183156113
fg_per_g,0.08432075232612478
avail_rate,0.03759824435585446
pts_rookie,0.0351339286003136
fga,0.028864303918744977
mp,0.026471391873034836
tov,0.0226000303073998
g,0.02099109743857594
group_rookie,0.02060597810077353
team_min,0.02033743884378713
group_hardship,0.014843014956981343
pts,0.013203274899891902
group_unknown,0.010632389812015097
pca1,0.009105370385829757
fg,0.007084541888046433
ft,0.005699483899534844
group_controlled,0.001881310190431003
ws_vet,0.0015831559947648815
ws_rookie,0.001203071211210247
blk,0.0004764774324786776
fta,0.0002181152594001153
pts_hardship,0.0
ws_hardship,0.0
group_other,0.0
group_veteran,0.0
