player,team,year,group,actual,predicted,residual,abs_error,residual_check,abs_error_check
Amy Okonkwo,DAL,2025,veteran,7774,100097.83211462328,92323.83211462328,92323.83211462328,-92323.83211462328,92323.83211462328
Kaila Charles,TOT,2025,veteran,21198,112318.45187861704,91120.45187861704,91120.45187861704,-91120.45187861704,91120.45187861704
Odyssey Sims,TOT,2025,veteran,54622,141170.91584454666,86548.91584454666,86548.91584454666,-86548.91584454666,86548.91584454666
Haley Jones,TOT,2025,veteran,36094,119276.60101829129,83182.60101829129,83182.60101829129,-83182.60101829129,83182.60101829129
Veronica Burton,GSV,2025,veteran,103831,185805.05529642256,81974.05529642256,81974.05529642256,-81974.05529642256,81974.05529642256
Aari McDonald,IND,2025,veteran,52333,129520.19343985838,77187.19343985838,77187.19343985838,-77187.19343985838,77187.19343985838
Emma Meesseman,NYL,2025,veteran,75694,144695.14795864292,69001.14795864292,69001.14795864292,-69001.14795864292,69001.14795864292
Leonie Fiebich,NYL,2025,unknown,68595,135752.96060345904,67157.96060345904,67157.96060345904,-67157.96060345904,67157.96060345904
Aerial Powers,TOT,2025,veteran,11924,75257.87404815311,63333.87404815311,63333.87404815311,-63333.87404815311,63333.87404815311
Grace Berger,TOT,2025,veteran,17214,79932.66868671181,62718.66868671181,62718.66868671181,-62718.66868671181,62718.66868671181
