params,std_test_score,rank_test_score,model,cv_rmse,train_rmse,cv_train_gap,relative_gap
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",4396.285281377642,15,RandomForest,40570.14839587902,25389.32291724322,15180.825478635801,0.37418708283989954
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 400}",4510.812271233402,18,RandomForest,40761.529388370654,25224.39488940667,15537.134498963984,0.38117152943227783
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",3466.442184765204,3,RandomForest,40152.01810780401,30653.077941131152,9498.940166672859,0.23657441429641687
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",3634.664452767888,9,RandomForest,40324.243404712535,30498.96789904246,9825.275505670073,0.24365678500298488
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 200}",3001.89272120801,4,RandomForest,40234.19083608721,35189.14975160909,5045.041084478122,0.12539188634441428
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 400}",2956.060392758482,10,RandomForest,40451.67366898272,35158.8234651187,5292.850203864022,0.13084378775463226
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 200}",4395.348940630434,13,RandomForest,40529.502273567305,28701.17003769812,11828.332235869184,0.2918449912369991
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 400}",4512.884421266937,16,RandomForest,40655.728373589525,28561.861108721558,12093.867264867968,0.29747019051623474
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 200}",3525.8343428386934,1,RandomForest,40118.98024787463,31948.43570083473,8170.544547039899,0.20365783219210185
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 400}",3657.003625427068,7,RandomForest,40293.39662138931,31815.03541494439,8478.361206444919,0.21041564914744054
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 200}",2973.1178215418554,6,RandomForest,40267.0561043874,35507.893189743314,4759.162914644083,0.11818998891566689
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 400}",2946.3571023255863,12,RandomForest,40456.10017351468,35478.78601607093,4977.314157443747,0.12303000378425591
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}",4444.926732474025,14,RandomForest,40531.27749311846,25536.929787317506,14994.347705800956,0.3699451049463405
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 400}",4558.692788056217,17,RandomForest,40712.40016303194,25366.813426094555,15345.586736937385,0.37692660406869427
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",3468.5666551086742,2,RandomForest,40147.14543360894,30677.78445803885,9469.360975570089,0.23586635795138927
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",3633.2908386377744,8,RandomForest,40323.57553113791,30524.4272210772,9799.148310060711,0.24301288219081163
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 200}",2999.4514159523146,5,RandomForest,40236.923933143575,35191.402752528884,5045.521180614691,0.12539530081867523
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 400}",2955.023862217435,11,RandomForest,40452.77589032772,35160.72713790615,5292.048752421571,0.1308204106133271
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",4372.76125564006,5,GradientBoosting,40554.892350940376,37569.07980586639,2985.8125450739826,0.07362397905624692
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4624.541110692936,2,GradientBoosting,39971.43859528029,33648.76371986433,6322.6748754159635,0.1581798178302876
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",4471.632703968384,6,GradientBoosting,40626.78596616996,37667.949631863936,2958.8363343060264,0.07282969262618652
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5008.152531559501,3,GradientBoosting,40199.34486081048,33759.82620671988,6439.5186540906,0.16018964180603737
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",5639.616266651568,11,GradientBoosting,41295.20183358366,31494.055087488818,9801.146746094844,0.23734347601914324
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6220.860518641203,13,GradientBoosting,41581.53305888365,26425.499133896217,15156.033924987434,0.36448954163197783
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",5494.220646037118,14,GradientBoosting,41673.3214860126,32114.320262989888,9559.001223022715,0.22937939387027587
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",6031.809506665027,15,GradientBoosting,42134.507282029525,26968.862617426523,15165.644664603002,0.35993406931499083
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",4578.369728785335,1,GradientBoosting,39765.10934931433,34618.60228492166,5146.5070643926665,0.12942268105397298
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4812.642850004486,7,GradientBoosting,40764.7506055118,29787.758247949223,10976.992357562576,0.26927657337558636
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",5284.163352517691,4,GradientBoosting,40280.07172453916,34844.15445708072,5435.917267458441,0.13495301857039166
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5670.404321853688,12,GradientBoosting,41531.16753332877,29964.093022168632,11567.074511160139,0.2785155149293012
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",6328.527555149351,10,GradientBoosting,41288.07967943634,27815.331088978008,13472.748590458334,0.3263108552168504
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6837.9414700213765,17,GradientBoosting,42192.84478801283,21970.154954764468,20222.68983324836,0.4792919257957623
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",6676.237004789879,16,GradientBoosting,42158.62816170576,28293.351789152974,13865.276372552788,0.3288834807283205
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",7048.430581343347,21,GradientBoosting,43361.91639913815,22538.094679046804,20823.821720091346,0.48023296591442244
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",5127.634159985672,8,GradientBoosting,40798.98562867683,29481.5571751099,11317.428453566932,0.27739484889575605
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",5524.435644267093,19,GradientBoosting,42504.88076147766,23260.349918067463,19244.530843410197,0.45276049476302943
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",5021.940582417521,9,GradientBoosting,41114.37509757433,30018.80693210201,11095.568165472323,0.2698707724278884
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5316.480540116253,20,GradientBoosting,42546.41516465441,24028.75025512324,18517.664909531173,0.435234433685374
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",6503.8882583279865,18,GradientBoosting,42372.62663374548,21673.921192510843,20698.705441234637,0.4884923849575619
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6812.407941817372,23,GradientBoosting,43661.790243168005,14317.9481077045,29343.842135463507,0.6720714375667428
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",6593.195122419247,22,GradientBoosting,43389.2567400468,22392.329353060573,20996.92738698623,0.48391996002104326
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",6838.2674607111,24,GradientBoosting,44801.10258091029,15513.39480937698,29287.707771533307,0.6537273880400608
