params,std_test_score,rank_test_score,model,cv_rmse,train_rmse,cv_train_gap,relative_gap
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",4578.369728785335,1,GradientBoosting,39765.10934931433,34618.60228492166,5146.5070643926665,0.12942268105397298
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4624.541110692936,2,GradientBoosting,39971.43859528029,33648.76371986433,6322.6748754159635,0.1581798178302876
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 200}",3525.8343428386934,1,RandomForest,40118.98024787463,31948.43570083473,8170.544547039899,0.20365783219210185
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",3468.5666551086742,2,RandomForest,40147.14543360894,30677.78445803885,9469.360975570089,0.23586635795138927
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",3466.442184765204,3,RandomForest,40152.01810780401,30653.077941131152,9498.940166672859,0.23657441429641687
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5008.152531559501,3,GradientBoosting,40199.34486081048,33759.82620671988,6439.5186540906,0.16018964180603737
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 200}",3001.89272120801,4,RandomForest,40234.19083608721,35189.14975160909,5045.041084478122,0.12539188634441428
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 200}",2999.4514159523146,5,RandomForest,40236.923933143575,35191.402752528884,5045.521180614691,0.12539530081867523
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 200}",2973.1178215418554,6,RandomForest,40267.0561043874,35507.893189743314,4759.162914644083,0.11818998891566689
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",5284.163352517691,4,GradientBoosting,40280.07172453916,34844.15445708072,5435.917267458441,0.13495301857039166
