player,team,year,group,actual,predicted,residual,abs_error,residual_check,abs_error_check
Moriah Jefferson,CHI,2025,veteran,145500,31196.67323972348,-114303.32676027651,114303.32676027651,114303.32676027651,114303.32676027651
Jewell Loyd,LVA,2025,veteran,249032,137885.22852179347,-111146.77147820653,111146.77147820653,111146.77147820653,111146.77147820653
Sabrina Ionescu,NYL,2025,rookie,222060,112676.9423678511,-109383.0576321489,109383.0576321489,109383.0576321489,109383.0576321489
Arike Ogunbowale,DAL,2025,unknown,249032,143333.76741362835,-105698.23258637165,105698.23258637165,105698.23258637165,105698.23258637165
Teaira McCowan,DAL,2025,veteran,201400,96696.5341596508,-104703.4658403492,104703.4658403492,104703.4658403492,104703.4658403492
Alysha Clark,TOT,2025,veteran,205908,112233.50809500148,-93674.49190499852,93674.49190499852,93674.49190499852,93674.49190499852
Brittney Griner,ATL,2025,veteran,214466,136134.90782249355,-78331.09217750645,78331.09217750645,78331.09217750645,78331.09217750645
Myisha Hines-Allen,DAL,2025,veteran,203000,126789.56047822784,-76210.43952177216,76210.43952177216,76210.43952177216,76210.43952177216
Shatori Walker-Kimbrough,ATL,2025,veteran,150000,74763.68121839814,-75236.31878160186,75236.31878160186,75236.31878160186,75236.31878160186
DiJonai Carrington,TOT,2025,veteran,200000,130289.45862331736,-69710.54137668264,69710.54137668264,69710.54137668264,69710.54137668264
