feature,importance
start_rate,0.4988381802478237
pts_vet,0.0917524975435426
fga,0.0524926651786702
pca1,0.048974209407636575
group_hardship,0.033799736071842605
g,0.03198542620302064
fg_per_g,0.028565833852820886
pts,0.024005557438034182
mp,0.023793625514949582
tov,0.020337815006208734
team_min,0.0180756142664291
avail_rate,0.01576925810401977
group_rookie,0.01541492310653067
pts_rookie,0.013596955464393152
blk,0.01328371303647596
group_unknown,0.01253986784304384
ft,0.010671664978441252
ws_vet,0.010019790654438684
fg,0.009645493183081362
fta,0.008981651670490762
pts_hardship,0.008452987777864584
group_veteran,0.0028108446215902414
ws_rookie,0.0025014691127364552
group_controlled,0.002253863340905423
ws_hardship,0.0014363563750090784
