params,std_test_score,rank_test_score,model,cv_rmse,train_rmse,cv_train_gap,relative_gap
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",4171.133047317497,12,RandomForest,40119.46042343969,24521.94735944216,15597.513063997529,0.3887767407481064
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 400}",4168.444043432116,14,RandomForest,40137.982104441566,24441.94698830865,15696.035116132916,0.3910519237188068
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",3506.819735098665,4,RandomForest,39956.28341652764,29423.984090533064,10532.29932599458,0.26359557059398486
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",3517.1182563055518,1,RandomForest,39859.5788256334,29358.02199134276,10501.556834290637,0.2634638183265791
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 200}",2915.811024777813,9,RandomForest,40062.746577688,33804.99692216893,6257.749655519066,0.15619871801311228
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 400}",2911.572361962908,8,RandomForest,40062.45628580751,33757.522879163254,6304.933406644253,0.15737760464971376
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 200}",4014.89795335961,17,RandomForest,40167.78582423788,28545.5576256257,11622.228198612178,0.2893420177419673
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 400}",3998.0123642598646,18,RandomForest,40180.8884243412,28492.68445020065,11688.203974140553,0.2908896351594842
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 200}",3427.4006673944727,6,RandomForest,40027.29348193792,31204.382548682577,8822.910933255345,0.22042237098135628
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 400}",3377.7539719707847,5,RandomForest,40013.39618570879,31153.749118404783,8859.64706730401,0.221417023093589
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 200}",2849.1473150783117,13,RandomForest,40130.88145553506,34382.273495910784,5748.607959624278,0.14324649125870123
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 400}",2851.5844674963178,11,RandomForest,40110.92341211112,34354.27881174226,5756.644600368862,0.14351812700055408
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}",4147.3057475235055,15,RandomForest,40139.83854428275,24772.15994658209,15367.678597700658,0.38285352295941233
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 400}",4138.811337362757,16,RandomForest,40155.34824594,24674.489080855,15480.859165084996,0.38552421635766104
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",3513.390166780904,3,RandomForest,39948.69549447519,29461.503938077218,10487.191556397975,0.26251649588528686
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",3513.7844280366107,2,RandomForest,39866.14562716043,29397.6516845182,10468.493942642232,0.2625910726496254
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 200}",2914.3186803169665,10,RandomForest,40064.57467911555,33809.214750771906,6255.3599283436415,0.156131943954078
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 400}",2911.9653636230355,7,RandomForest,40061.92797149986,33761.24257191938,6300.685399580485,0.15727364404585834
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",3695.39336382448,6,GradientBoosting,40685.18203284413,37119.51325584451,3565.6687769996206,0.0876404774131561
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4174.106095792309,3,GradientBoosting,40314.85169255299,32986.76916991192,7328.082522641074,0.18177128812295065
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",3500.2474715710136,5,GradientBoosting,40643.1160082237,37457.27294564763,3185.8430625760666,0.07838579753411243
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",3781.985877144637,4,GradientBoosting,40423.18860287487,33357.23517440815,7065.953428466717,0.1747995067357005
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",5067.065966279873,9,GradientBoosting,41216.65074011371,31500.72775005445,9715.922990059262,0.23572810540385156
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",5516.441307988965,16,GradientBoosting,41813.825050430016,26362.707797277824,15451.117253152192,0.3695217367585291
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",4266.94660302409,8,GradientBoosting,41106.1111807831,32334.91399145396,8771.197189329137,0.2133793963324273
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",4617.577563079551,14,GradientBoosting,41478.44205140672,27504.193355155963,13974.248696250754,0.3369038952555554
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",3932.0762316039873,1,GradientBoosting,40139.10449409298,34112.26730629842,6026.837187794561,0.15014877047597047
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4166.192104021847,12,GradientBoosting,41279.811322286965,29672.505795982623,11607.305526304342,0.28118601210847977
