params,std_test_score,rank_test_score,model,cv_rmse,train_rmse,cv_train_gap,relative_gap
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",3753.4605263420713,2,GradientBoosting,40225.99302856447,34455.196077837325,5770.796950727148,0.14345940314336816
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",3758.624277450485,7,GradientBoosting,41033.67793339717,29946.20931232578,11087.468621071392,0.2702041147534411
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",5163.883825004877,10,GradientBoosting,41254.70072662903,27755.538445675826,13499.162280953205,0.3272151304745688
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",5847.004630393999,19,GradientBoosting,42515.91159404227,21810.52129825385,20705.39029578842,0.48700332462564094
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",4689.967846524155,13,GradientBoosting,41363.59842435064,28765.39409163876,12598.20433271188,0.30457225223653056
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",5111.426233530031,17,GradientBoosting,42091.127430125656,23005.6423653533,19085.485064772358,0.45343249824932
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",4382.735915843191,11,GradientBoosting,41256.633463474536,29674.375985768344,11582.257477706193,0.28073685381916186
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4709.438344263845,21,GradientBoosting,42880.26952661848,23763.26748499893,19117.00204161955,0.44582280504912464
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",4479.412675612174,15,GradientBoosting,41638.13323955105,29836.578881802463,11801.554357748584,0.283431399045973
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5543.506517986603,22,GradientBoosting,43119.68471233163,24167.59799831157,18952.086714020064,0.43952284995720364
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",6347.841080139332,20,GradientBoosting,42550.66979188915,21560.420456823125,20990.249335066026,0.49330009228355576
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6368.405382189319,23,GradientBoosting,43766.09936060997,15276.01759302149,28490.081767588483,0.6509623243516626
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",5491.055247546369,18,GradientBoosting,42263.48133815392,22414.967856471445,19848.513481682476,0.4696374471112006
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",5625.362346142516,24,GradientBoosting,43868.00061331633,16292.65262862265,27575.347984693683,0.6285982401560161
