player,team,year,group,actual,predicted,residual,abs_error,residual_check,abs_error_check
Moriah Jefferson,CHI,2025,veteran,145500,22577.850691080697,-122922.1493089193,122922.1493089193,122922.1493089193,122922.1493089193
Sabrina Ionescu,NYL,2025,rookie,222060,106060.9577939148,-115999.0422060852,115999.0422060852,115999.0422060852,115999.0422060852
Teaira McCowan,DAL,2025,veteran,201400,89401.3162161401,-111998.6837838599,111998.6837838599,111998.6837838599,111998.6837838599
Arike Ogunbowale,DAL,2025,unknown,249032,139530.21543849606,-109501.78456150394,109501.78456150394,109501.78456150394,109501.78456150394
Jewell Loyd,LVA,2025,veteran,249032,140885.52688752656,-108146.47311247344,108146.47311247344,108146.47311247344,108146.47311247344
Alysha Clark,TOT,2025,veteran,205908,118245.52672291956,-87662.47327708044,87662.47327708044,87662.47327708044,87662.47327708044
Shatori Walker-Kimbrough,ATL,2025,veteran,150000,64335.45541540903,-85664.54458459097,85664.54458459097,85664.54458459097,85664.54458459097
Brittney Griner,ATL,2025,veteran,214466,129746.72167354882,-84719.27832645118,84719.27832645118,84719.27832645118,84719.27832645118
Karlie Samuelson,MIN,2025,veteran,118450,34809.56124235619,-83640.4387576438,83640.4387576438,83640.4387576438,83640.4387576438
Myisha Hines-Allen,DAL,2025,veteran,203000,121782.99544961208,-81217.00455038792,81217.00455038792,81217.00455038792,81217.00455038792
