player,team,year,group,actual,predicted,residual,abs_error,residual_check,abs_error_check
Odyssey Sims,TOT,2025,veteran,7949,138897.38659483183,130948.38659483183,130948.38659483183,-130948.38659483183,130948.38659483183
Odyssey Sims,TOT,2025,veteran,13911,138897.38659483183,124986.38659483183,124986.38659483183,-124986.38659483183,124986.38659483183
Kaila Charles,TOT,2025,veteran,13911,113460.86837710127,99549.86837710127,99549.86837710127,-99549.86837710127,99549.86837710127
Kaila Charles,TOT,2025,veteran,13911,113460.86837710127,99549.86837710127,99549.86837710127,-99549.86837710127,99549.86837710127
Haley Jones,TOT,2025,veteran,36094,128767.14401540208,92673.14401540208,92673.14401540208,-92673.14401540208,92673.14401540208
Kaila Charles,TOT,2025,veteran,21198,113460.86837710127,92262.86837710127,92262.86837710127,-92262.86837710127,92262.86837710127
Zia Cooke,SEA,2025,veteran,13882,101078.03445855278,87196.03445855278,87196.03445855278,-87196.03445855278,87196.03445855278
Odyssey Sims,TOT,2025,veteran,54622,138897.38659483183,84275.38659483183,84275.38659483183,-84275.38659483183,84275.38659483183
Aari McDonald,IND,2025,veteran,52333,130636.11273559272,78303.11273559272,78303.11273559272,-78303.11273559272,78303.11273559272
Veronica Burton,GSV,2025,veteran,103831,181619.9112083497,77788.91120834969,77788.91120834969,-77788.91120834969,77788.91120834969
