params,std_test_score,rank_test_score,model,cv_rmse,train_rmse,cv_train_gap,relative_gap
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",3517.1182563055518,1,RandomForest,39859.5788256334,29358.02199134276,10501.556834290637,0.2634638183265791
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",3513.7844280366107,2,RandomForest,39866.14562716043,29397.6516845182,10468.493942642232,0.2625910726496254
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",3513.390166780904,3,RandomForest,39948.69549447519,29461.503938077218,10487.191556397975,0.26251649588528686
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",3506.819735098665,4,RandomForest,39956.28341652764,29423.984090533064,10532.29932599458,0.26359557059398486
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 400}",3377.7539719707847,5,RandomForest,40013.39618570879,31153.749118404783,8859.64706730401,0.221417023093589
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 200}",3427.4006673944727,6,RandomForest,40027.29348193792,31204.382548682577,8822.910933255345,0.22042237098135628
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 400}",2911.9653636230355,7,RandomForest,40061.92797149986,33761.24257191938,6300.685399580485,0.15727364404585834
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 400}",2911.572361962908,8,RandomForest,40062.45628580751,33757.522879163254,6304.933406644253,0.15737760464971376
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 200}",2915.811024777813,9,RandomForest,40062.746577688,33804.99692216893,6257.749655519066,0.15619871801311228
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 200}",2914.3186803169665,10,RandomForest,40064.57467911555,33809.214750771906,6255.3599283436415,0.156131943954078
