team,total_actual_salary,total_predicted_salary,team_wins,actual_cpw,predicted_cpw,cpw_gap
CHI,1473197,1303681.5302905564,10.0,147319.7,130368.15302905564,16951.54697094437
DAL,1147885,1063316.635080408,10.0,114788.5,106331.6635080408,8456.836491959199
CON,1112550,1378930.3661915655,11.0,101140.90909090909,125357.30601741505,-24216.396926505957
LAS,1316357,1141976.9550167227,21.0,62683.666666666664,54379.85500079632,8303.811665870344
PHO,1426240,1562195.2311498006,27.0,52823.7037037037,57859.0826351778,-5035.378931474101
SEA,1203362,1237007.7711555294,23.0,52320.086956521736,53782.94657197954,-1462.8596154578045
IND,1240354,1316849.6388210417,24.0,51681.416666666664,54868.73495087674,-3187.3182842100723
NYL,1367568,1352782.4584181032,27.0,50650.666666666664,50103.0540154853,547.6126511813636
ATL,1490935,1216509.421045278,30.0,49697.833333333336,40550.3140348426,9147.519298490733
GSV,1092331,1249129.76970412,23.0,47492.65217391304,54309.989987135654,-6817.3378132226135
LVA,1401863,1268563.9404143905,30.0,46728.76666666667,42285.46468047969,4443.301986186983
WAS,746633,823167.3506294644,16.0,46664.5625,51447.95941434152,-4783.396914341523
MIN,1454850,1317903.848626849,34.0,42789.705882352944,38761.877900789674,4027.8279815632704
