model,split_strategy,cv_strategy,train_years,test_year,n_train,n_test,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,cv_r2_mean,holdout_rmse,holdout_mae,holdout_mape,holdout_r2,generated_at
RandomForestRegressor,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,39984.83567226624,3447.8328517345026,29489.86334484255,4192.84476257577,1.6372274683501828,0.7555794292126914,0.6556706918225382,41615.80795096463,30503.01723475873,1.290566678991216,0.6298182225760782,2026-06-17T20:25:37
Ridge,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,39959.09155058755,2765.6906104718423,29676.5792426793,3446.472104889317,1.6758097322261027,0.8397039018227394,0.6573882575086798,44797.77143696584,34805.999745961744,1.9112713002400636,0.5710455335596237,2026-06-17T20:25:37
LinearRegression,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,40737.84898838749,2990.896306487838,30446.49499587527,3780.9381862763885,1.7366854749659337,0.9153750197431164,0.6435716541874504,45158.13234514925,34968.851884318974,1.931044522231229,0.5641166108164033,2026-06-17T20:25:37
DummyRegressor,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,69031.71133404184,958.5213237663521,55568.05005635368,922.5025850753619,4.657354489464315,0.9728418480547845,-0.015650904861676862,68539.78779409057,54790.73193888774,4.145444710016128,-0.0041159967819230925,2026-06-17T20:25:37
