params,std_test_score,rank_test_score,model,cv_rmse,train_rmse
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",5163.883825004877,10,GradientBoosting,41254.70072662903,27755.538445675822
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",5847.004630393999,19,GradientBoosting,42515.91159404227,21810.521298253854
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",4689.967846524155,13,GradientBoosting,41363.59842435064,28765.394091638762
"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",5111.426233530031,17,GradientBoosting,42091.127430125656,23005.6423653533
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",4382.735915843191,11,GradientBoosting,41256.633463474536,29674.375985768344
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4709.438344263845,21,GradientBoosting,42880.26952661848,23763.26748499893
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",4479.412675612174,15,GradientBoosting,41638.13323955105,29836.578881802463
"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",5543.506517986603,22,GradientBoosting,43119.68471233163,24167.597998311572
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",6347.841080139332,20,GradientBoosting,42550.66979188915,21560.420456823125
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",6368.4053821893185,23,GradientBoosting,43766.09936060997,15276.01759302149
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",5491.055247546369,18,GradientBoosting,42263.48133815392,22414.967856471445
"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",5625.362346142516,24,GradientBoosting,43868.00061331633,16292.65262862265
