params,std_test_score,rank_test_score,model,cv_rmse,train_rmse
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",4171.133047317497,12,RandomForest,40119.46042343969,24521.94735944216
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 400}",4168.444043432116,14,RandomForest,40137.982104441566,24441.946988308646
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",3506.819735098665,4,RandomForest,39956.28341652764,29423.984090533064
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",3517.1182563055513,1,RandomForest,39859.5788256334,29358.02199134276
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 200}",2915.811024777813,9,RandomForest,40062.746577688,33804.99692216893
"{'max_depth': None, 'min_samples_leaf': 8, 'n_estimators': 400}",2911.572361962908,8,RandomForest,40062.45628580751,33757.522879163254
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 200}",4014.89795335961,17,RandomForest,40167.78582423788,28545.5576256257
"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 400}",3998.0123642598646,18,RandomForest,40180.888424341196,28492.684450200646
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 200}",3427.4006673944727,6,RandomForest,40027.29348193792,31204.382548682577
"{'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': 400}",3377.7539719707847,5,RandomForest,40013.39618570879,31153.749118404783
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 200}",2849.1473150783113,13,RandomForest,40130.88145553506,34382.273495910784
"{'max_depth': 6, 'min_samples_leaf': 8, 'n_estimators': 400}",2851.5844674963178,11,RandomForest,40110.923412111115,34354.27881174226
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}",4147.3057475235055,15,RandomForest,40139.83854428275,24772.159946582095
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 400}",4138.811337362757,16,RandomForest,40155.34824594,24674.489080854997
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",3513.3901667809037,3,RandomForest,39948.695494475185,29461.503938077218
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",3513.7844280366107,2,RandomForest,39866.14562716043,29397.6516845182
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 200}",2914.3186803169665,10,RandomForest,40064.57467911555,33809.214750771906
"{'max_depth': 10, 'min_samples_leaf': 8, 'n_estimators': 400}",2911.9653636230355,7,RandomForest,40061.92797149986,33761.24257191938
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",3695.3933638244794,6,GradientBoosting,40685.18203284413,37119.51325584451
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4174.106095792309,3,GradientBoosting,40314.85169255299,32986.76916991192
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",3500.2474715710136,5,GradientBoosting,40643.116008223704,37457.27294564763
"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",3781.9858771446366,4,GradientBoosting,40423.18860287487,33357.23517440815
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}",5067.065966279873,9,GradientBoosting,41216.65074011371,31500.727750054455
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 200}",5516.441307988965,16,GradientBoosting,41813.825050430016,26362.707797277824
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",4266.94660302409,8,GradientBoosting,41106.1111807831,32334.91399145396
"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 200}",4617.577563079551,14,GradientBoosting,41478.442051406724,27504.193355155963
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 100}",3932.0762316039873,1,GradientBoosting,40139.10449409298,34112.26730629842
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3, 'n_estimators': 200}",4166.192104021847,12,GradientBoosting,41279.811322286965,29672.505795982623
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100}",3753.4605263420713,2,GradientBoosting,40225.99302856447,34455.196077837325
"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 200}",3758.624277450485,7,GradientBoosting,41033.67793339717,29946.20931232578
