model,split_strategy,cv_strategy,train_years,test_year,n_train,n_test,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,cv_r2_mean,holdout_rmse,holdout_mae,holdout_mape,holdout_r2,generated_at
RandomForestRegressor,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,39854.86268954029,3510.855489962292,29338.796930550783,4279.664972940024,1.6388261197283607,0.7580023140072883,0.6577791810894387,41513.035481327635,30507.741924608887,1.2929409889157473,0.6316443324554906,2026-06-19T12:47:54
Ridge,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,40149.70690132332,2666.765124912088,29544.911111131645,3393.77615006514,1.6871176111637214,0.7502304377854875,0.6541514783674551,44981.16391795529,34349.09709801019,1.7546226658611648,0.567526249261483,2026-06-19T12:47:54
LinearRegression,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,40725.687336647075,3167.6395839215525,30099.98795260907,3869.4875023222066,1.7480514061315071,0.8544025910517242,0.6434349135663201,45423.82631858038,34537.31641114966,1.7548639554531416,0.558972364136533,2026-06-19T12:47:54
DummyRegressor,train(2021_2024)/test(2025),chronological_cross_validation,2021-2024,2025,742,223,69031.71133404184,958.5213237663521,55568.05005635368,922.5025850753619,4.657354489464315,0.9728418480547845,-0.015650904861676862,68539.78779409057,54790.73193888774,4.145444710016128,-0.0041159967819230925,2026-06-19T12:47:54
