player,salary,team,signing,group,rookie_flag,hardship_flag,vet_flag,unknown_flag,avail_rate,start_rate,team_min,starter,rotation,pts40,ast40,reb40,stocks,stocks40,pps,ft_rate,three_rate,ast_tov,ws_game,ws40,ts_diff,efg_diff,team_power,ws_rookie,ws_vet,ws_hardship,pts_rookie,pts_vet,pts_hardship
A'ja Wilson,200000,LVA,RFA,veteran,0,0,1,0,0.9090909090909091,1.0,28.34090909090909,1,1,30.0,3.974358974358975,13.076923076923077,3.9,5.0,1.187094155844156,0.4424242424242424,0.09090909090909091,1.409090909090909,0.2375,0.30473135525260625,0.04399999999999993,0.018000000000000016,0.6697824024560418,0.0,9.5,0.0,0.0,23.4,0.0
Napheesa Collier,214284,MIN,,unknown,0,0,0,1,0.75,1.0,24.204545454545453,1,1,28.359133126934985,3.9628482972136228,9.040247678018575,3.1,3.839009287925697,1.2730709361796753,0.3312101910828026,0.24203821656050956,1.5238095238095237,0.2515151515151515,0.3117370892018779,0.06400000000000006,0.03699999999999992,1.6774743240099597,0.0,0.0,0.0,0.0,0.0,0.0
Kelsey Mitchell,269244,IND,Core,veteran,0,0,1,0,1.0,1.0,31.386363636363637,1,1,25.732484076433124,4.331210191082803,2.292993630573249,1.1,1.4012738853503188,1.14824920418372,0.27388535031847133,0.40764331210191085,1.8888888888888888,0.12727272727272726,0.16220130340333092,0.019999999999999907,0.019000000000000017,0.4085994662347417,0.0,5.6,0.0,0.0,20.2,0.0
Kelsey Plum,202000,LAS,Core,veteran,0,0,1,0,0.9772727272727273,1.0,34.27272727272727,1,1,22.22222222222222,6.495726495726496,3.532763532763533,1.3,1.4814814814814816,1.1533002129169623,0.3958333333333333,0.4513888888888889,1.9000000000000001,0.09767441860465116,0.11140583554376658,0.015000000000000013,-0.019000000000000017,-0.4043709924578387,0.0,4.2,0.0,0.0,19.5,0.0
Paige Bueckers,78831,DAL,Rookie,rookie,1,0,0,0,0.8181818181818182,1.0,27.25,1,1,23.063063063063062,6.486486486486487,4.684684684684685,2.1,2.5225225225225225,1.1328770356384232,0.27814569536423844,0.2185430463576159,2.7,0.12222222222222223,0.14678899082568808,0.052999999999999936,0.04400000000000004,-1.3615149941003584,4.4,0.0,0.0,19.2,0.0,0.0
Dearica Hamby,202000,LAS,,unknown,0,0,0,1,1.0,1.0,31.227272727272727,1,1,23.58974358974359,4.230769230769231,10.12820512820513,2.1,2.6923076923076925,1.2045037968054464,0.4186046511627907,0.09302325581395349,1.222222222222222,0.12727272727272726,0.16302765647743814,0.04200000000000004,0.06499999999999995,-0.4043709924578387,0.0,0.0,0.0,0.0,0.0,0.0
Allisha Gray,190000,ATL,RFA,veteran,0,0,1,0,0.9545454545454546,1.0,32.97727272727273,1,1,21.333333333333332,4.057971014492754,6.144927536231884,1.5,1.7391304347826089,1.1932555123216602,0.4230769230769231,0.46923076923076923,1.9444444444444444,0.18333333333333335,0.21226740179186768,0.04299999999999993,0.026000000000000023,1.2293152868634125,0.0,7.7,0.0,0.0,18.4,0.0
Breanna Stewart,222400,NYL,Core,veteran,0,0,1,0,0.7045454545454546,1.0,21.545454545454547,1,1,23.92156862745098,4.57516339869281,8.49673202614379,2.8,3.6601307189542482,1.1394769613947697,0.49242424242424243,0.21212121212121213,1.842105263157895,0.15806451612903227,0.2067510548523207,-0.0040000000000000036,-0.039000000000000035,0.6796248973640951,0.0,4.9,0.0,0.0,18.3,0.0
Nneka Ogwumike,195000,SEA,UFA,veteran,0,0,1,0,1.0,1.0,30.886363636363637,1,1,23.68932038834952,2.9773462783171523,9.06148867313916,1.5,1.9417475728155342,1.2048986041611798,0.19285714285714287,0.2928571428571428,1.2105263157894737,0.12954545454545455,0.1677704194260486,0.06099999999999994,0.06699999999999995,0.24831765944039572,0.0,5.7,0.0,0.0,18.3,0.0
Sabrina Ionescu,222060,NYL,Rookie,rookie,1,0,0,0,0.8636363636363636,1.0,27.136363636363637,1,1,23.184713375796182,7.261146496815288,6.242038216560511,1.7000000000000002,2.1656050955414017,1.0710922787193973,0.2847682119205298,0.47019867549668876,2.1923076923076925,0.1131578947368421,0.14405360134003348,-0.03699999999999992,-0.05400000000000005,0.6796248973640951,4.3,0.0,0.0,18.2,0.0,0.0
