player,salary,signing,g_sal,gs_sal,min,pts_sal,fgm,fga_sal,fgpct,2pm,2pa,2ppct,3pm,3pa,3ppct,ftm,fta_sal,ftpct,orb_sal,drb,trb_sal,ast_sal,tov_sal,stl_sal,blk_sal,pf_sal,team,pos,g,mp,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct_x,fg3_per_g,fg3a_per_g,fg3_pct_x,fg2_per_g,fg2a_per_g,fg2_pct_x,ft_per_g,fta_per_g,ft_pct_x,orb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,per,ts_pct_x,efg_pct_x,fg3a_per_fga_pct_x,fta_per_fga_pct_x,orb_pct_x,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct_x,usg_pct,off_rtg_x,def_rtg_x,ows,dws,ws,ws_per_40,fg,fga,fg_pct_y,fg3,fg3a,fg3_pct_y,fg2,fg2a,fg2_pct_y,ft,fta,ft_pct_y,orb,trb,ast,stl,blk,tov,pf,pts,ranker,age,wins_adv,losses_adv,wins_pyth,losses_pyth,mov,sos,srs,off_rtg_y,def_rtg_y,net_rtg,pace,fta_per_fga_pct_y,fg3a_per_fga_pct_y,ts_pct_y,efg_pct_y,tov_pct_y,orb_pct_y,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,arena_name,team_name,wins_stand,losses_stand,win_loss_pct,gb,group,rookie_flag,hardship_flag,vet_flag,unknown_flag,avail_rate,start_rate,team_min,starter,rotation,pts40,ast40,reb40,stocks,stocks40,pps,three_rate,ast_tov,ws_game,ws40,ts_diff,efg_diff,team_power,ws_rookie,ws_vet,ws_hardship,pts_rookie,pts_vet,pts_hardship,pca1,pca2
A'ja Wilson,200000,RFA,40,40,31.2,23.4,8.3,16.4,50.5%,7.7,15.0,51.3%,0.6,1.5,42.4%,6.2,7.3,85.5%,2.3,7.9,10.2,3.1,2.2,1.6,2.3,1.9,LVA,C,40,1247,40,31.2,8.3,16.5,0.505,0.6,1.5,0.424,7.7,15.0,0.513,6.2,7.3,0.855,2.3,10.2,3.1,1.6,2.3,2.2,1.9,23.4,33.4,0.596,0.524,0.09,0.441,8.5,19.1,20.6,2.7,6.4,10.0,31.9,119.0,96.0,6.2,3.3,9.5,0.304,332,658,0.505,25,59,0.424,307,599,0.513,248,290,0.855,91,407,122,64,92,87,75,937,5.0,28.1,30.0,14.0,27.0,17.0,2.91,-0.32,2.59,108.1,104.4,3.7,77.3,0.273,0.383,0.552,0.506,13.6,23.5,0.4424242424242424,0.489,14.1,74.5,0.199,,LVA,30.0,14.0,0.682,4.0,veteran,0,0,1,0,0.9090909090909091,1.0,28.34090909090909,1,1,30.0,3.974358974358975,13.076923076923077,3.9,5.0,1.187094155844156,0.09090909090909091,1.409090909090909,0.2375,0.30473135525260625,0.04399999999999993,0.018000000000000016,0.6697824024560418,0.0,9.5,0.0,0.0,23.4,0.0,8.981738224908366,-2.3817459405871464
Napheesa Collier,214284,,33,33,32.3,22.9,8.3,15.7,53.1%,6.8,11.9,57.1%,1.5,3.8,40.3%,4.7,5.2,90.6%,1.9,5.4,7.3,3.2,2.1,1.6,1.5,2.4,MIN,F,33,1065,33,32.3,8.3,15.7,0.531,1.5,3.8,0.403,6.8,11.9,0.571,4.7,5.2,0.906,1.9,7.3,3.2,1.6,1.5,2.1,2.4,22.9,30.2,0.636,0.579,0.239,0.33,7.1,13.5,18.2,2.7,4.3,10.6,28.6,123.0,96.0,5.5,2.7,8.3,0.31,275,518,0.531,50,124,0.403,225,394,0.571,155,171,0.906,62,241,105,54,50,70,78,755,1.0,28.8,34.0,10.0,37.0,7.0,9.41,-0.69,8.72,112.3,100.0,12.3,76.4,0.236,0.372,0.572,0.542,13.9,26.0,0.3312101910828026,0.481,15.9,74.1,0.178,,MIN,34.0,10.0,0.773,,unknown,0,0,0,1,0.75,1.0,24.204545454545453,1,1,28.359133126934985,3.9628482972136228,9.040247678018575,3.1,3.839009287925697,1.2730709361796753,0.24203821656050956,1.5238095238095237,0.2515151515151515,0.3117370892018779,0.06400000000000006,0.03699999999999992,1.6774743240099597,0.0,0.0,0.0,0.0,0.0,0.0,6.344886896034044,-1.588954980156759
Kelsey Mitchell,269244,Core,44,44,31.4,20.2,7.2,15.7,45.6%,4.6,9.3,49.9%,2.5,6.4,39.4%,3.4,4.3,78.4%,0.4,1.3,1.8,3.4,1.8,0.9,0.2,2.0,IND,G,44,1381,44,31.4,7.2,15.7,0.456,2.5,6.4,0.394,4.6,9.3,0.499,3.4,4.3,0.784,0.4,1.8,3.4,0.9,0.2,1.8,2.0,20.2,19.9,0.574,0.536,0.408,0.275,1.6,3.4,19.6,1.4,0.5,9.1,27.7,114.0,109.0,4.5,1.0,5.6,0.161,315,691,0.456,111,282,0.394,204,409,0.499,149,190,0.784,18,77,150,39,7,78,88,890,4.0,28.1,24.0,20.0,28.0,16.0,3.36,-0.83,2.53,108.4,104.1,4.3,78.0,0.261,0.349,0.554,0.517,14.3,26.2,0.27388535031847133,0.503,16.0,75.7,0.233,,IND,24.0,20.0,0.545,10.0,veteran,0,0,1,0,1.0,1.0,31.386363636363637,1,1,25.732484076433124,4.331210191082803,2.292993630573249,1.1,1.4012738853503188,1.14824920418372,0.40764331210191085,1.8888888888888888,0.12727272727272726,0.16220130340333092,0.019999999999999907,0.019000000000000017,0.4085994662347417,0.0,5.6,0.0,0.0,20.2,0.0,6.485851977761591,-0.5516827903297207
Kelsey Plum,202000,Core,43,43,35.1,19.5,6.1,14.4,42.2%,3.8,7.9,47.8%,2.3,6.5,35.5%,5.1,5.7,89.3%,0.2,2.8,3.1,5.7,3.0,1.2,0.1,2.7,LAS,G,43,1508,43,35.1,6.1,14.4,0.422,2.3,6.5,0.355,3.8,7.9,0.478,5.1,5.7,0.893,0.2,3.1,5.7,1.2,0.1,3.0,2.7,19.5,18.1,0.578,0.502,0.451,0.395,0.8,5.2,27.9,1.8,0.2,15.3,25.4,111.0,114.0,4.1,0.0,4.2,0.11,261,618,0.422,99,279,0.355,162,339,0.478,218,244,0.893,10,132,247,53,4,131,117,839,9.0,28.3,21.0,23.0,18.0,26.0,-2.57,0.38,-2.19,107.5,110.7,-3.2,79.0,0.304,0.382,0.563,0.521,15.7,24.1,0.3958333333333333,0.524,13.8,73.6,0.189,,LAS,21.0,23.0,0.477,13.0,veteran,0,0,1,0,0.9772727272727273,1.0,34.27272727272727,1,1,22.22222222222222,6.495726495726496,3.532763532763533,1.3,1.4814814814814816,1.1533002129169623,0.4513888888888889,1.9000000000000001,0.09767441860465116,0.11140583554376658,0.015000000000000013,-0.019000000000000017,-0.4043709924578387,0.0,4.2,0.0,0.0,19.5,0.0,7.069540937992723,1.0099047732499835
Paige Bueckers,78831,Rookie,36,36,33.3,19.2,7.2,15.1,47.7%,6.1,11.8,51.8%,1.1,3.3,33.1%,3.8,4.2,88.8%,0.7,3.3,3.9,5.4,2.0,1.6,0.5,2.3,DAL,G,36,1199,36,33.3,7.2,15.1,0.477,1.1,3.3,0.331,6.1,11.8,0.518,3.8,4.2,0.888,0.7,3.9,5.4,1.6,0.5,2.0,2.3,19.2,22.1,0.567,0.513,0.217,0.28,2.3,6.8,30.2,2.4,1.4,10.6,24.7,115.0,112.0,4.0,0.4,4.4,0.147,259,543,0.477,39,118,0.331,220,425,0.518,135,152,0.888,25,142,194,57,18,72,82,692,11.0,25.4,10.0,34.0,11.0,33.0,-6.3,0.92,-5.38,103.3,111.2,-7.9,78.8,0.257,0.302,0.514,0.469,13.9,27.6,0.27814569536423844,0.531,14.2,75.7,0.255,,DAL,10.0,34.0,0.227,24.0,rookie,1,0,0,0,0.8181818181818182,1.0,27.25,1,1,23.063063063063062,6.486486486486487,4.684684684684685,2.1,2.5225225225225225,1.1328770356384232,0.2185430463576159,2.7,0.12222222222222223,0.14678899082568808,0.052999999999999936,0.04400000000000004,-1.3615149941003584,4.4,0.0,0.0,19.2,0.0,0.0,5.613000646556589,0.7960887498665609
Dearica Hamby,202000,,44,44,31.2,18.4,7.4,12.9,57.2%,7.0,11.6,60.4%,0.3,1.2,27.8%,3.4,5.4,62.7%,2.6,5.4,7.9,3.3,2.7,1.6,0.5,2.7,LAS,F,44,1374,44,31.2,7.4,12.9,0.572,0.3,1.2,0.278,7.0,11.6,0.604,3.4,5.4,0.627,2.6,7.9,3.3,1.6,0.5,2.7,2.7,18.4,23.8,0.605,0.586,0.095,0.417,10.0,15.2,20.0,2.5,1.4,14.9,25.6,114.0,108.0,4.4,1.2,5.6,0.162,324,566,0.572,15,54,0.278,309,512,0.604,148,236,0.627,113,349,144,69,21,117,119,811,9.0,28.3,21.0,23.0,18.0,26.0,-2.57,0.38,-2.19,107.5,110.7,-3.2,79.0,0.304,0.382,0.563,0.521,15.7,24.1,0.4186046511627907,0.524,13.8,73.6,0.189,,LAS,21.0,23.0,0.477,13.0,unknown,0,0,0,1,1.0,1.0,31.227272727272727,1,1,23.58974358974359,4.230769230769231,10.12820512820513,2.1,2.6923076923076925,1.2045037968054464,0.09302325581395349,1.222222222222222,0.12727272727272726,0.16302765647743814,0.04200000000000004,0.06499999999999995,-0.4043709924578387,0.0,0.0,0.0,0.0,0.0,0.0,6.909757763775892,-1.159128810207013
Allisha Gray,190000,RFA,42,42,34.5,18.4,5.9,13.0,45.1%,3.5,6.9,50.9%,2.3,6.1,38.4%,4.4,5.5,79.9%,0.9,4.5,5.3,3.5,1.8,1.1,0.4,2.6,ATL,G,42,1451,42,34.5,5.9,13.0,0.451,2.3,6.1,0.384,3.5,6.9,0.509,4.4,5.5,0.799,0.9,5.3,3.5,1.1,0.4,1.8,2.6,18.4,19.7,0.598,0.54,0.467,0.419,3.0,9.1,17.5,1.6,0.9,10.3,22.8,119.0,102.0,5.2,2.5,7.7,0.212,246,546,0.451,98,255,0.384,148,291,0.509,183,229,0.799,36,223,147,45,15,74,109,773,2.0,27.8,30.0,14.0,35.0,9.0,7.59,-1.1,6.49,110.5,100.5,10.0,76.2,0.275,0.418,0.555,0.514,12.9,26.7,0.4230769230769231,0.478,13.4,79.8,0.181,,ATL,30.0,14.0,0.682,4.0,veteran,0,0,1,0,0.9545454545454546,1.0,32.97727272727273,1,1,21.333333333333332,4.057971014492754,6.144927536231884,1.5,1.7391304347826089,1.1932555123216602,0.46923076923076923,1.9444444444444444,0.18333333333333335,0.21226740179186768,0.04299999999999993,0.026000000000000023,1.2293152868634125,0.0,7.7,0.0,0.0,18.4,0.0,6.592697381737936,-0.8634603183122234
Breanna Stewart,222400,Core,31,31,30.6,18.3,6.1,13.2,46.1%,5.4,10.4,52.0%,0.7,2.8,24.1%,5.5,6.5,83.7%,1.0,5.5,6.5,3.5,1.9,1.4,1.4,1.9,NYL,F,31,948,31,30.6,6.1,13.2,0.461,0.7,2.8,0.241,5.4,10.4,0.52,5.5,6.5,0.837,1.0,6.5,3.5,1.4,1.4,1.9,1.9,18.3,23.7,0.57,0.487,0.213,0.495,4.0,12.4,21.0,2.3,4.0,10.8,27.2,113.0,100.0,2.9,2.0,4.9,0.205,188,408,0.461,21,87,0.241,167,321,0.52,169,202,0.837,31,203,108,42,42,60,59,566,3.0,29.4,27.0,17.0,29.0,15.0,4.07,-0.28,3.79,108.3,103.1,5.2,77.9,0.286,0.41,0.574,0.526,14.9,20.8,0.49242424242424243,0.483,13.9,73.6,0.183,,NYL,27.0,17.0,0.614,7.0,veteran,0,0,1,0,0.7045454545454546,1.0,21.545454545454547,1,1,23.92156862745098,4.57516339869281,8.49673202614379,2.8,3.6601307189542482,1.1394769613947697,0.21212121212121213,1.842105263157895,0.15806451612903227,0.2067510548523207,-0.0040000000000000036,-0.039000000000000035,0.6796248973640951,0.0,4.9,0.0,0.0,18.3,0.0,4.565110077550981,-0.6988614471161945
Nneka Ogwumike,195000,UFA,44,44,30.9,18.3,7.3,14.0,51.9%,5.8,9.9,58.1%,1.5,4.1,36.7%,2.2,2.7,82.2%,1.3,5.7,7.0,2.3,1.9,1.1,0.4,1.9,SEA,F,44,1359,44,30.9,7.3,14.0,0.519,1.5,4.1,0.367,5.8,9.9,0.581,2.2,2.7,0.822,1.3,7.0,2.3,1.1,0.4,1.9,1.9,18.3,21.8,0.6,0.572,0.292,0.191,5.1,13.7,13.5,1.9,1.2,11.3,25.4,110.0,102.0,3.3,2.4,5.7,0.168,320,617,0.519,66,180,0.367,254,437,0.581,97,118,0.822,59,309,99,50,18,85,83,803,7.0,30.2,23.0,21.0,26.0,18.0,2.05,-0.02,2.02,104.5,101.9,2.6,78.2,0.231,0.319,0.539,0.505,13.2,19.9,0.19285714285714287,0.497,16.8,74.2,0.219,,SEA,23.0,21.0,0.523,11.0,veteran,0,0,1,0,1.0,1.0,30.886363636363637,1,1,23.68932038834952,2.9773462783171523,9.06148867313916,1.5,1.9417475728155342,1.2048986041611798,0.2928571428571428,1.2105263157894737,0.12954545454545455,0.1677704194260486,0.06099999999999994,0.06699999999999995,0.24831765944039572,0.0,5.7,0.0,0.0,18.3,0.0,6.157966073445004,-1.7536301337779454
Sabrina Ionescu,222060,Rookie,38,38,31.4,18.2,6.1,15.1,40.1%,3.9,7.9,49.3%,2.1,7.1,29.9%,4.0,4.3,93.3%,0.8,4.1,4.9,5.7,2.6,1.3,0.4,1.7,NYL,G,38,1194,38,31.4,6.1,15.1,0.401,2.1,7.1,0.299,3.9,7.9,0.493,4.0,4.3,0.933,0.8,4.9,5.7,1.3,0.4,2.6,1.7,18.2,20.4,0.537,0.472,0.473,0.284,3.1,9.0,33.0,2.1,1.2,13.4,28.9,107.0,104.0,2.6,1.7,4.3,0.145,230,573,0.401,81,271,0.299,149,302,0.493,152,163,0.933,30,185,216,48,16,100,63,693,3.0,29.4,27.0,17.0,29.0,15.0,4.07,-0.28,3.79,108.3,103.1,5.2,77.9,0.286,0.41,0.574,0.526,14.9,20.8,0.2847682119205298,0.483,13.9,73.6,0.183,,NYL,27.0,17.0,0.614,7.0,rookie,1,0,0,0,0.8636363636363636,1.0,27.136363636363637,1,1,23.184713375796182,7.261146496815288,6.242038216560511,1.7000000000000002,2.1656050955414017,1.0710922787193973,0.47019867549668876,2.1923076923076925,0.1131578947368421,0.14405360134003348,-0.03699999999999992,-0.05400000000000005,0.6796248973640951,4.3,0.0,0.0,18.2,0.0,0.0,5.971201316816633,1.1257095541433588
