player,salary,signing,g_sal,gs_sal,min,pts_sal,fgm,fga_sal,fgpct,2pm,2pa,2ppct,3pm,3pa,3ppct,ftm,fta_sal,ftpct,orb_sal,drb,trb_sal,ast_sal,tov_sal,stl_sal,blk_sal,pf_sal,team,pos,g,mp,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct_x,fg3_per_g,fg3a_per_g,fg3_pct_x,fg2_per_g,fg2a_per_g,fg2_pct_x,ft_per_g,fta_per_g,ft_pct_x,orb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,per,ts_pct_x,efg_pct_x,fg3a_per_fga_pct_x,fta_per_fga_pct_x,orb_pct_x,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct_x,usg_pct,off_rtg_x,def_rtg_x,ows,dws,ws,ws_per_40,fg,fga,fg_pct_y,fg3,fg3a,fg3_pct_y,fg2,fg2a,fg2_pct_y,ft,fta,ft_pct_y,orb,trb,ast,stl,blk,tov,pf,pts,ranker,age,wins_adv,losses_adv,wins_pyth,losses_pyth,mov,sos,srs,off_rtg_y,def_rtg_y,net_rtg,pace,fta_per_fga_pct_y,fg3a_per_fga_pct_y,ts_pct_y,efg_pct_y,tov_pct_y,orb_pct_y,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,arena_name,team_name,wins_stand,losses_stand,win_loss_pct,gb,group,rookie_flag,hardship_flag,vet_flag,unknown_flag,avail_rate,start_rate,team_min,starter,rotation,pts40,ast40,reb40,stocks,stocks40,pps,three_rate,ast_tov,ws_game,ws40,ts_diff,efg_diff,team_power,ws_rookie,ws_vet,ws_hardship,pts_rookie,pts_vet,pts_hardship,pca1,pca2
Odyssey Sims,54622,UFA,24,21,28.0,10.1,3.7,9.0,41.4%,2.8,6.3,45.0%,0.9,2.7,32.8%,1.8,2.3,78.2%,0.4,2.0,2.4,3.8,1.4,0.7,0.0,2.0,TOT,G,24,671,21,28.0,3.7,9.0,0.414,0.9,2.7,0.328,2.8,6.3,0.45,1.8,2.3,0.782,0.4,2.4,3.8,0.7,0.0,1.4,2.0,10.1,11.8,0.506,0.463,0.298,0.256,1.8,5.1,21.1,1.3,0.1,12.1,18.2,106.0,112.0,0.8,0.2,1.0,0.06,89,215,0.414,21,64,0.328,68,151,0.45,43,55,0.782,10,57,90,17,1,33,48,242,,,,,,,,,,,,,,,,,,,,0.25555555555555554,,,,,,,,,,,veteran,0,0,1,0,0.5454545454545454,0.875,15.25,1,1,14.428571428571429,5.428571428571429,3.4285714285714284,0.7,1.0,1.0087894526568117,0.30000000000000004,2.7142857142857144,0.041666666666666664,0.05961251862891207,,,0.24831765944039572,0.0,1.0,0.0,0.0,10.1,0.0,0.4048652716578625,1.0581440922734924
Odyssey Sims,13911,UFA,24,21,28.0,10.1,3.7,9.0,41.4%,2.8,6.3,45.0%,0.9,2.7,32.8%,1.8,2.3,78.2%,0.4,2.0,2.4,3.8,1.4,0.7,0.0,2.0,TOT,G,24,671,21,28.0,3.7,9.0,0.414,0.9,2.7,0.328,2.8,6.3,0.45,1.8,2.3,0.782,0.4,2.4,3.8,0.7,0.0,1.4,2.0,10.1,11.8,0.506,0.463,0.298,0.256,1.8,5.1,21.1,1.3,0.1,12.1,18.2,106.0,112.0,0.8,0.2,1.0,0.06,89,215,0.414,21,64,0.328,68,151,0.45,43,55,0.782,10,57,90,17,1,33,48,242,,,,,,,,,,,,,,,,,,,,0.25555555555555554,,,,,,,,,,,veteran,0,0,1,0,0.5454545454545454,0.875,15.25,1,1,14.428571428571429,5.428571428571429,3.4285714285714284,0.7,1.0,1.0087894526568117,0.30000000000000004,2.7142857142857144,0.041666666666666664,0.05961251862891207,,,0.24831765944039572,0.0,1.0,0.0,0.0,10.1,0.0,0.4048652716578625,1.0581440922734924
Odyssey Sims,7949,UFA,24,21,28.0,10.1,3.7,9.0,41.4%,2.8,6.3,45.0%,0.9,2.7,32.8%,1.8,2.3,78.2%,0.4,2.0,2.4,3.8,1.4,0.7,0.0,2.0,TOT,G,24,671,21,28.0,3.7,9.0,0.414,0.9,2.7,0.328,2.8,6.3,0.45,1.8,2.3,0.782,0.4,2.4,3.8,0.7,0.0,1.4,2.0,10.1,11.8,0.506,0.463,0.298,0.256,1.8,5.1,21.1,1.3,0.1,12.1,18.2,106.0,112.0,0.8,0.2,1.0,0.06,89,215,0.414,21,64,0.328,68,151,0.45,43,55,0.782,10,57,90,17,1,33,48,242,,,,,,,,,,,,,,,,,,,,0.25555555555555554,,,,,,,,,,,veteran,0,0,1,0,0.5454545454545454,0.875,15.25,1,1,14.428571428571429,5.428571428571429,3.4285714285714284,0.7,1.0,1.0087894526568117,0.30000000000000004,2.7142857142857144,0.041666666666666664,0.05961251862891207,,,0.24831765944039572,0.0,1.0,0.0,0.0,10.1,0.0,0.4048652716578625,1.0581440922734924
DeWanna Bonner,72269,UFA,33,4,23.6,9.8,3.2,7.8,40.9%,2.0,4.2,47.4%,1.2,3.6,33.3%,2.3,2.6,87.2%,0.9,3.3,4.2,1.2,0.8,0.8,0.3,1.3,TOT,F-G,33,778,4,23.6,3.2,7.8,0.409,1.2,3.6,0.333,2.0,4.2,0.474,2.3,2.6,0.872,0.9,4.2,1.2,0.8,0.3,0.8,1.3,9.8,15.2,0.551,0.486,0.467,0.335,4.2,10.2,7.8,1.8,1.1,8.7,18.6,111.0,104.0,1.4,1.2,2.6,0.134,105,257,0.409,40,120,0.333,65,137,0.474,75,86,0.872,29,137,38,28,9,28,43,325,,,,,,,,,,,,,,,,,,,,0.33333333333333337,,,,,,,,,,,veteran,0,0,1,0,0.75,0.12121212121212122,17.681818181818183,0,1,16.610169491525426,2.0338983050847457,7.11864406779661,1.1,1.864406779661017,1.0957066189624332,0.46153846153846156,1.4999999999999998,0.0787878787878788,0.13367609254498714,,,0.24831765944039572,0.0,2.6,0.0,0.0,9.8,0.0,1.1431496396686187,-1.112365775936835
DeWanna Bonner,63721,UFA,33,4,23.6,9.8,3.2,7.8,40.9%,2.0,4.2,47.4%,1.2,3.6,33.3%,2.3,2.6,87.2%,0.9,3.3,4.2,1.2,0.8,0.8,0.3,1.3,TOT,F-G,33,778,4,23.6,3.2,7.8,0.409,1.2,3.6,0.333,2.0,4.2,0.474,2.3,2.6,0.872,0.9,4.2,1.2,0.8,0.3,0.8,1.3,9.8,15.2,0.551,0.486,0.467,0.335,4.2,10.2,7.8,1.8,1.1,8.7,18.6,111.0,104.0,1.4,1.2,2.6,0.134,105,257,0.409,40,120,0.333,65,137,0.474,75,86,0.872,29,137,38,28,9,28,43,325,,,,,,,,,,,,,,,,,,,,0.33333333333333337,,,,,,,,,,,veteran,0,0,1,0,0.75,0.12121212121212122,17.681818181818183,0,1,16.610169491525426,2.0338983050847457,7.11864406779661,1.1,1.864406779661017,1.0957066189624332,0.46153846153846156,1.4999999999999998,0.0787878787878788,0.13367609254498714,,,0.24831765944039572,0.0,2.6,0.0,0.0,9.8,0.0,1.1431496396686187,-1.112365775936835
Aari McDonald,52333,UFA,20,13,26.3,9.8,3.3,7.7,42.9%,2.1,3.8,55.3%,1.2,3.9,30.8%,2.0,2.6,78.4%,0.5,1.9,2.4,4.7,2.3,1.3,0.2,2.5,IND,G,20,525,13,26.3,3.3,7.7,0.429,1.2,3.9,0.308,2.1,3.8,0.553,2.0,2.6,0.784,0.5,2.4,4.7,1.3,0.2,2.3,2.5,9.8,14.0,0.555,0.506,0.506,0.331,2.0,5.4,27.3,2.4,0.5,20.7,19.0,106.0,106.0,0.7,0.6,1.4,0.104,66,154,0.429,24,78,0.308,42,76,0.553,40,51,0.784,9,47,94,25,3,46,50,196,4.0,28.1,24.0,20.0,28.0,16.0,3.36,-0.83,2.53,108.4,104.1,4.3,78.0,0.261,0.349,0.554,0.517,14.3,26.2,0.33766233766233766,0.503,16.0,75.7,0.233,,IND,24.0,20.0,0.545,10.0,veteran,0,0,1,0,0.45454545454545453,0.65,11.931818181818182,1,1,14.904942965779467,7.14828897338403,3.6501901140684407,1.5,2.2813688212927756,1.108095884215287,0.5064935064935064,2.0434782608695654,0.06999999999999999,0.10666666666666666,0.0010000000000000009,-0.01100000000000001,0.4085994662347417,0.0,1.4,0.0,0.0,9.8,0.0,0.15051414709410132,1.7750841954840266
Aari McDonald,6459,Hardship,20,13,26.3,9.8,3.3,7.7,42.9%,2.1,3.8,55.3%,1.2,3.9,30.8%,2.0,2.6,78.4%,0.5,1.9,2.4,4.7,2.3,1.3,0.2,2.5,IND,G,20,525,13,26.3,3.3,7.7,0.429,1.2,3.9,0.308,2.1,3.8,0.553,2.0,2.6,0.784,0.5,2.4,4.7,1.3,0.2,2.3,2.5,9.8,14.0,0.555,0.506,0.506,0.331,2.0,5.4,27.3,2.4,0.5,20.7,19.0,106.0,106.0,0.7,0.6,1.4,0.104,66,154,0.429,24,78,0.308,42,76,0.553,40,51,0.784,9,47,94,25,3,46,50,196,4.0,28.1,24.0,20.0,28.0,16.0,3.36,-0.83,2.53,108.4,104.1,4.3,78.0,0.261,0.349,0.554,0.517,14.3,26.2,0.33766233766233766,0.503,16.0,75.7,0.233,,IND,24.0,20.0,0.545,10.0,hardship,0,1,0,0,0.45454545454545453,0.65,11.931818181818182,1,1,14.904942965779467,7.14828897338403,3.6501901140684407,1.5,2.2813688212927756,1.108095884215287,0.5064935064935064,2.0434782608695654,0.06999999999999999,0.10666666666666666,0.0010000000000000009,-0.01100000000000001,0.4085994662347417,0.0,0.0,1.4,0.0,0.0,9.8,0.15051414709410132,1.7750841954840266
Brittney Griner,214466,UFA,39,25,20.8,9.8,4.0,7.7,51.8%,3.9,7.2,53.5%,0.1,0.5,26.3%,1.7,2.2,76.5%,0.9,4.3,5.2,0.8,1.5,0.1,1.2,1.9,ATL,C,39,810,25,20.8,4.0,7.7,0.518,0.1,0.5,0.263,3.9,7.2,0.535,1.7,2.2,0.765,0.9,5.2,0.8,0.1,1.2,1.5,1.9,9.8,16.1,0.564,0.527,0.063,0.282,5.4,14.8,7.3,0.3,5.0,14.8,22.6,102.0,100.0,0.7,1.7,2.4,0.117,156,301,0.518,5,19,0.263,151,282,0.535,65,85,0.765,36,203,33,5,47,59,75,382,2.0,27.8,30.0,14.0,35.0,9.0,7.59,-1.1,6.49,110.5,100.5,10.0,76.2,0.275,0.418,0.555,0.514,12.9,26.7,0.28571428571428575,0.478,13.4,79.8,0.181,,ATL,30.0,14.0,0.682,4.0,veteran,0,0,1,0,0.8863636363636364,0.6410256410256411,18.40909090909091,1,1,18.846153846153847,1.5384615384615383,10.0,1.3,2.5,1.1305952930318413,0.06493506493506493,0.5333333333333333,0.061538461538461535,0.11851851851851851,0.008999999999999897,0.013000000000000012,1.2293152868634125,0.0,2.4,0.0,0.0,9.8,0.0,1.745579995142795,-1.6582494971043698
DiJonai Carrington,200000,RFA,31,14,21.9,9.8,3.5,8.9,38.6%,2.7,6.6,41.0%,0.7,2.3,31.9%,2.1,2.6,80.5%,1.5,2.5,4.0,1.5,1.9,1.1,0.4,2.5,TOT,G-F,31,680,14,21.9,3.5,8.9,0.386,0.7,2.3,0.319,2.7,6.6,0.41,2.1,2.6,0.805,1.5,4.0,1.5,1.1,0.4,1.9,2.5,9.8,12.8,0.484,0.428,0.26,0.296,7.9,10.5,11.6,2.6,1.8,15.9,24.1,94.0,108.0,-0.3,0.6,0.3,0.016,107,277,0.386,23,72,0.319,84,205,0.41,66,82,0.805,48,124,48,34,13,59,78,303,,,,,,,,,,,,,,,,,,,,0.29213483146067415,,,,,,,,,,,veteran,0,0,1,0,0.7045454545454546,0.45161290322580644,15.454545454545455,0,1,17.899543378995435,2.7397260273972606,7.305936073059361,1.5,2.7397260273972606,0.9757068896853843,0.2584269662921348,0.7894736842105263,0.00967741935483871,0.01764705882352941,,,0.24831765944039572,0.0,0.3,0.0,0.0,9.8,0.0,0.7384140978714235,-0.6642954105872221
Alanna Smith,150000,UFA,42,42,26.5,9.6,3.8,7.9,48.5%,2.5,4.0,63.3%,1.3,3.8,32.9%,0.7,1.5,47.7%,1.5,3.5,5.1,2.9,1.5,1.3,1.9,2.8,MIN,F,42,1114,42,26.5,3.8,7.9,0.485,1.3,3.8,0.329,2.5,4.0,0.633,0.7,1.5,0.477,1.5,5.1,2.9,1.3,1.9,1.5,2.8,9.6,18.1,0.563,0.565,0.488,0.197,7.1,11.4,16.5,2.6,6.6,15.3,17.5,110.0,96.0,1.9,2.9,4.8,0.172,160,330,0.485,53,161,0.329,107,169,0.633,31,65,0.477,65,214,121,55,80,65,116,404,1.0,28.8,34.0,10.0,37.0,7.0,9.41,-0.69,8.72,112.3,100.0,12.3,76.4,0.236,0.372,0.572,0.542,13.9,26.0,0.18987341772151897,0.481,15.9,74.1,0.178,,MIN,34.0,10.0,0.773,,veteran,0,0,1,0,0.9545454545454546,1.0,25.318181818181817,1,1,14.49056603773585,4.377358490566038,7.69811320754717,3.2,4.830188679245284,1.1214953271028036,0.48101265822784806,1.9333333333333333,0.11428571428571428,0.17235188509874325,-0.009000000000000008,0.02299999999999991,1.6774743240099597,0.0,4.8,0.0,0.0,9.6,0.0,2.7876681504259184,0.1775907514294515
Iliana Rupert,32207,Rookie,21,11,23.2,9.3,3.2,7.3,43.8%,1.0,2.3,42.9%,2.2,5.0,44.2%,0.7,0.8,93.8%,1.0,2.9,3.9,1.6,1.0,0.6,0.6,2.3,GSV,C,21,486,11,23.1,3.2,7.3,0.438,2.2,5.0,0.442,1.0,2.3,0.429,0.7,0.8,0.938,1.0,3.9,1.6,0.6,0.6,1.0,2.3,9.3,15.9,0.609,0.588,0.68,0.105,5.2,9.7,13.0,1.4,2.6,11.1,17.3,117.0,103.0,1.2,0.8,1.9,0.159,67,153,0.438,46,104,0.442,21,49,0.429,15,16,0.938,21,81,33,13,12,20,48,195,8.0,27.0,23.0,21.0,25.0,19.0,1.39,0.08,1.47,103.9,102.1,1.8,74.6,0.282,0.458,0.531,0.482,14.9,26.0,0.10958904109589042,0.472,13.9,76.0,0.215,Chase Center,GSV,23.0,21.0,0.523,11.0,rookie,1,0,0,0,0.4772727272727273,0.5238095238095238,11.045454545454545,1,1,16.103896103896105,2.770562770562771,6.753246753246753,1.2,2.0779220779220777,1.2153685311029796,0.684931506849315,1.6,0.09047619047619047,0.15637860082304528,0.07799999999999996,0.10599999999999998,0.17357702568400166,1.9,0.0,0.0,9.3,0.0,0.0,-0.4615246612740663,-0.43704302256856115
Sami Whitcomb,125000,UFA,43,20,23.9,9.1,3.0,7.8,38.5%,1.0,2.3,44.3%,2.0,5.5,36.1%,1.1,1.3,85.2%,0.4,2.3,2.6,2.5,1.6,0.8,0.2,2.1,PHO,G,43,1027,20,23.9,3.0,7.8,0.385,2.0,5.5,0.361,1.0,2.3,0.443,1.1,1.3,0.852,0.4,2.6,2.5,0.8,0.2,1.6,2.1,9.1,11.4,0.544,0.513,0.71,0.161,1.8,6.3,17.0,1.6,0.6,15.7,18.6,102.0,106.0,0.7,1.2,1.9,0.074,129,335,0.385,86,238,0.361,43,97,0.443,46,54,0.852,16,113,108,33,7,67,90,390,6.0,29.7,27.0,17.0,27.0,17.0,2.68,-0.13,2.55,105.9,102.5,3.4,78.2,0.259,0.403,0.542,0.502,14.1,24.4,0.16666666666666669,0.486,15.5,75.5,0.225,,PHO,27.0,17.0,0.614,7.0,veteran,0,0,1,0,0.9772727272727273,0.46511627906976744,23.34090909090909,0,1,15.230125523012553,4.1841004184100425,4.351464435146444,1.0,1.6736401673640169,1.0869565217391304,0.7051282051282052,1.5625,0.044186046511627906,0.07400194741966894,0.0020000000000000018,0.01100000000000001,0.5112900678967056,0.0,1.9,0.0,0.0,9.1,0.0,1.7879176082307071,0.38097894379588026
Natisha Hiedeman,135000,UFA,44,0,18.9,9.1,3.4,7.0,49.3%,2.4,4.1,57.7%,1.0,2.8,37.1%,1.2,1.5,76.1%,0.3,1.6,1.9,2.8,1.2,0.7,0.2,1.6,MIN,G,44,833,0,18.9,3.4,7.0,0.492,1.0,2.8,0.371,2.4,4.2,0.574,1.2,1.5,0.761,0.3,1.9,2.8,0.7,0.2,1.2,1.6,9.1,17.9,0.593,0.567,0.404,0.218,1.6,5.9,23.8,2.0,1.0,13.8,21.5,114.0,103.0,2.2,1.3,3.5,0.169,151,307,0.492,46,124,0.371,105,183,0.574,51,67,0.761,11,82,123,32,9,54,71,399,1.0,28.8,34.0,10.0,37.0,7.0,9.41,-0.69,8.72,112.3,100.0,12.3,76.4,0.236,0.372,0.572,0.542,13.9,26.0,0.21428571428571427,0.481,15.9,74.1,0.178,,MIN,34.0,10.0,0.773,,veteran,0,0,1,0,1.0,0.0,18.931818181818183,0,1,19.259259259259263,5.9259259259259265,4.021164021164021,0.8999999999999999,1.9047619047619049,1.18798955613577,0.39999999999999997,2.3333333333333335,0.07954545454545454,0.1680672268907563,0.02100000000000002,0.02499999999999991,1.6774743240099597,0.0,3.5,0.0,0.0,9.1,0.0,2.26290633456669,0.9047629326765241
Rachel Banham,95000,UFA,44,33,24.6,9.0,2.9,7.7,38.2%,1.0,2.2,44.3%,2.0,5.5,35.7%,1.2,1.3,88.1%,0.1,1.5,1.7,2.7,1.6,0.6,0.3,1.9,CHI,G,44,1081,33,24.6,2.9,7.7,0.382,2.0,5.5,0.357,1.0,2.2,0.443,1.2,1.3,0.881,0.1,1.7,2.7,0.6,0.3,1.6,1.9,9.0,10.6,0.544,0.509,0.713,0.175,0.7,4.0,18.9,1.3,1.0,16.3,18.1,103.0,116.0,0.9,-0.3,0.5,0.02,129,338,0.382,86,241,0.357,43,97,0.443,52,59,0.881,6,74,119,26,11,71,84,396,12.0,27.7,10.0,34.0,7.0,37.0,-10.05,0.92,-9.13,98.8,111.9,-13.1,76.7,0.259,0.306,0.516,0.476,17.4,29.1,0.16883116883116883,0.521,12.6,74.7,0.215,,CHI,10.0,34.0,0.227,24.0,veteran,0,0,1,0,1.0,0.75,24.568181818181817,1,1,14.634146341463413,4.390243902439025,2.7642276422764227,0.8999999999999999,1.4634146341463412,1.0880077369439072,0.7142857142857143,1.6875,0.011363636363636364,0.018501387604070305,0.028000000000000025,0.03300000000000003,-1.8591173596021162,0.0,0.5,0.0,0.0,9.0,0.0,1.572338272379222,0.7244791714344296
Bria Hartley,78831,UFA,38,32,22.8,8.9,2.8,7.7,36.2%,1.4,3.8,35.6%,1.4,3.9,36.7%,1.9,2.4,77.2%,0.3,1.7,2.0,3.1,1.8,0.8,0.0,2.5,CON,G,38,867,32,22.8,2.8,7.7,0.362,1.4,3.9,0.367,1.4,3.8,0.356,1.9,2.4,0.772,0.3,2.0,3.1,0.8,0.0,1.8,2.5,8.9,10.5,0.505,0.454,0.502,0.314,1.5,5.2,23.8,1.7,0.0,17.1,21.1,97.0,115.0,0.0,-0.1,-0.2,-0.007,106,293,0.362,54,147,0.367,52,146,0.356,71,92,0.772,11,75,117,29,0,69,95,337,13.0,27.1,11.0,33.0,7.0,37.0,-10.11,0.87,-9.24,98.3,111.4,-13.1,76.9,0.272,0.304,0.505,0.458,14.9,24.4,0.3116883116883117,0.53,15.4,72.6,0.254,,CON,11.0,33.0,0.25,23.0,veteran,0,0,1,0,0.8636363636363636,0.8421052631578947,19.704545454545453,1,1,15.614035087719298,5.43859649122807,3.508771929824561,0.8,1.4035087719298245,1.016445865692097,0.5064935064935064,1.7222222222222223,-0.005263157894736842,-0.00922722029988466,0.0,-0.0040000000000000036,-1.8186115421419249,-0.0,-0.2,-0.0,0.0,8.9,0.0,1.2286741659810267,1.095819381932075
Saniya Rivers,75643,Rookie,42,25,26.1,8.8,3.4,8.3,40.7%,2.4,5.3,44.4%,1.0,3.0,34.1%,1.0,1.4,74.6%,0.7,2.1,2.8,2.7,1.5,1.5,0.9,1.7,CON,G,42,1097,25,26.1,3.4,8.3,0.407,1.0,3.0,0.341,2.4,5.3,0.444,1.0,1.4,0.746,0.7,2.8,2.7,1.5,0.9,1.5,1.7,8.8,13.6,0.495,0.468,0.361,0.169,3.0,6.4,18.4,2.9,3.4,14.2,18.1,98.0,110.0,0.1,0.6,0.7,0.026,142,349,0.407,43,126,0.341,99,223,0.444,44,59,0.746,29,118,113,62,38,62,70,371,13.0,27.1,11.0,33.0,7.0,37.0,-10.11,0.87,-9.24,98.3,111.4,-13.1,76.9,0.272,0.304,0.505,0.458,14.9,24.4,0.1686746987951807,0.53,15.4,72.6,0.254,,CON,11.0,33.0,0.25,23.0,rookie,1,0,0,0,0.9545454545454546,0.5952380952380952,24.931818181818183,1,1,13.486590038314176,4.137931034482758,4.2911877394636,2.4,3.6781609195402294,0.9869896814715119,0.36144578313253006,1.8,0.016666666666666666,0.025524156791248857,-0.010000000000000009,0.010000000000000009,-1.8186115421419249,0.7,0.0,0.0,8.8,0.0,0.0,1.6542574484692343,0.5308596899635084
Leonie Fiebich,68595,,37,37,28.1,8.7,2.9,6.0,48.9%,1.5,2.7,56.4%,1.4,3.2,42.5%,1.5,1.7,87.1%,0.6,2.9,3.5,1.7,1.2,0.9,0.4,2.4,NYL,F,37,1041,37,28.1,2.9,6.0,0.489,1.4,3.2,0.425,1.5,2.7,0.564,1.5,1.7,0.871,0.6,3.5,1.7,0.9,0.4,1.2,2.4,8.7,12.1,0.646,0.604,0.543,0.281,2.7,7.3,9.7,1.7,1.2,15.3,13.0,115.0,106.0,1.8,1.3,3.0,0.117,108,221,0.489,51,120,0.425,57,101,0.564,54,62,0.871,23,131,64,34,14,45,90,321,3.0,29.4,27.0,17.0,29.0,15.0,4.07,-0.28,3.79,108.3,103.1,5.2,77.9,0.286,0.41,0.574,0.526,14.9,20.8,0.2833333333333333,0.483,13.9,73.6,0.183,,NYL,27.0,17.0,0.614,7.0,unknown,0,0,0,1,0.8409090909090909,1.0,23.65909090909091,1,1,12.384341637010674,2.4199288256227756,4.982206405693949,1.3,1.8505338078291813,1.2892708950800236,0.5333333333333333,1.4166666666666667,0.08108108108108109,0.11527377521613832,0.07200000000000006,0.07799999999999996,0.6796248973640951,0.0,0.0,0.0,0.0,0.0,0.0,1.1672220844716281,-0.5140231356268067
Naz Hillmon,80823,Rookie,44,17,25.5,8.6,3.2,6.8,46.3%,2.0,3.1,63.7%,1.2,3.8,32.1%,1.1,1.3,83.1%,1.6,4.6,6.2,2.4,1.1,0.5,0.4,1.7,ATL,F,44,1122,17,25.5,3.2,6.8,0.463,1.2,3.8,0.321,2.0,3.1,0.637,1.1,1.3,0.831,1.6,6.2,2.4,0.5,0.4,1.1,1.7,8.6,15.8,0.583,0.552,0.55,0.197,7.4,14.3,15.0,1.0,1.4,13.3,15.4,118.0,102.0,2.7,2.0,4.8,0.17,139,300,0.463,53,165,0.321,86,135,0.637,49,59,0.831,69,271,105,21,19,50,74,380,2.0,27.8,30.0,14.0,35.0,9.0,7.59,-1.1,6.49,110.5,100.5,10.0,76.2,0.275,0.418,0.555,0.514,12.9,26.7,0.1911764705882353,0.478,13.4,79.8,0.181,,ATL,30.0,14.0,0.682,4.0,rookie,1,0,0,0,1.0,0.38636363636363635,25.5,0,1,13.490196078431373,3.764705882352941,9.725490196078432,0.9,1.411764705882353,1.166576234400434,0.5588235294117647,2.1818181818181817,0.10909090909090909,0.17112299465240643,0.027999999999999914,0.038000000000000034,1.2293152868634125,4.8,0.0,0.0,8.6,0.0,0.0,2.7482059079557875,-0.2649786978425771
Sophie Cunningham,100000,RFA,30,13,25.2,8.6,2.7,5.8,46.9%,1.0,1.9,54.4%,1.7,3.9,43.2%,1.4,1.6,87.5%,0.5,3.0,3.5,1.2,1.1,1.0,0.1,2.2,IND,G,30,756,13,25.2,2.7,5.8,0.469,1.7,3.9,0.432,1.0,1.9,0.544,1.4,1.6,0.875,0.5,3.5,1.2,1.0,0.1,1.1,2.2,8.6,12.8,0.655,0.614,0.674,0.274,2.4,8.4,7.1,2.0,0.4,14.8,13.6,118.0,105.0,1.5,1.0,2.5,0.13,82,175,0.469,51,118,0.432,31,57,0.544,42,48,0.875,15,105,36,29,3,34,65,257,4.0,28.1,24.0,20.0,28.0,16.0,3.36,-0.83,2.53,108.4,104.1,4.3,78.0,0.261,0.349,0.554,0.517,14.3,26.2,0.27586206896551724,0.503,16.0,75.7,0.233,,IND,24.0,20.0,0.545,10.0,veteran,0,0,1,0,0.6818181818181818,0.43333333333333335,17.181818181818183,0,1,13.650793650793652,1.9047619047619049,5.555555555555556,1.1,1.7460317460317463,1.3222632226322264,0.6724137931034483,1.0909090909090908,0.08333333333333333,0.13227513227513227,0.10099999999999998,0.09699999999999998,0.4085994662347417,0.0,2.5,0.0,0.0,8.6,0.0,0.2130082815546232,-0.8077952522080619
Elizabeth Williams,100000,UFA,43,15,21.1,8.5,3.7,7.6,48.0%,3.7,7.6,48.0%,0.0,0.0,--,1.2,1.9,61.7%,1.8,3.3,5.2,1.8,1.3,0.7,0.9,1.4,CHI,C-F,43,906,15,21.1,3.7,7.6,0.48,0.0,0.0,,3.7,7.6,0.48,1.2,1.9,0.617,1.8,5.2,1.8,0.7,0.9,1.3,1.4,8.5,17.2,0.502,0.48,0.0,0.248,10.4,14.5,16.3,1.8,4.0,13.4,20.8,102.0,109.0,0.7,0.6,1.3,0.059,157,327,0.48,0,0,,157,327,0.48,50,81,0.617,79,223,78,31,39,56,62,364,12.0,27.7,10.0,34.0,7.0,37.0,-10.05,0.92,-9.13,98.8,111.9,-13.1,76.7,0.259,0.306,0.516,0.476,17.4,29.1,0.25,0.521,12.6,74.7,0.215,,CHI,10.0,34.0,0.227,24.0,veteran,0,0,1,0,0.9772727272727273,0.3488372093023256,20.59090909090909,0,1,16.11374407582938,3.4123222748815163,9.857819905213269,1.6,3.0331753554502368,1.0075865339023233,0.0,1.3846153846153846,0.030232558139534883,0.05739514348785872,-0.014000000000000012,0.0040000000000000036,-1.8591173596021162,0.0,1.3,0.0,0.0,8.5,0.0,1.885886904199155,-0.44786289204597685
Olivia Nelson-Ododa,80823,Rookie,37,21,21.6,8.2,3.1,5.8,52.6%,3.0,5.8,52.6%,0.0,0.1,50.0%,2.1,3.0,70.3%,1.6,3.4,5.0,0.9,1.1,0.7,1.2,2.4,CON,C,37,800,21,21.6,3.1,5.8,0.526,0.0,0.1,0.5,3.0,5.8,0.526,2.1,3.0,0.703,1.6,5.0,0.9,0.7,1.2,1.1,2.4,8.2,17.2,0.578,0.528,0.009,0.516,8.6,13.7,7.8,1.8,5.2,13.2,17.3,111.0,109.0,1.5,0.6,2.1,0.104,113,215,0.526,1,2,0.5,112,213,0.526,78,111,0.703,60,184,34,27,43,40,89,305,13.0,27.1,11.0,33.0,7.0,37.0,-10.11,0.87,-9.24,98.3,111.4,-13.1,76.9,0.272,0.304,0.505,0.458,14.9,24.4,0.5172413793103449,0.53,15.4,72.6,0.254,,CON,11.0,33.0,0.25,23.0,rookie,1,0,0,0,0.8409090909090909,0.5675675675675675,18.181818181818183,1,1,15.185185185185182,1.6666666666666665,9.259259259259258,1.9,3.518518518518518,1.1516853932584268,0.017241379310344827,0.8181818181818181,0.05675675675675676,0.10500000000000001,0.07299999999999995,0.07,-1.8186115421419249,2.1,0.0,0.0,8.2,0.0,0.0,1.0647720185543184,-1.301273790572045
